['purelife8899', 202595792, 'impression', '13', 241608676L, datetime.datetime(2013, 5, 29, 19, 3, 10), 0.0344849199195434, False, 'time']
['purelife8899', 202595792, 'view_full_application_via_name', '5', 241610112L, datetime.datetime(2013, 5, 29, 19, 3, 12), 0.0481826604384432, False, 'time']
['purelife8899', 202595792, 'impression', '11', 241608965L, datetime.datetime(2013, 5, 29, 19, 3, 44), 0.069416519162875, False, 'time']
['purelife8899', 202595792, 'impression', '8', 241609288L, datetime.datetime(2013, 5, 29, 19, 3, 44), 0.0251454372061759, False, 'time']
['purelife8899', 202595792, 'impression', '7', 241609336L, datetime.datetime(2013, 5, 29, 19, 3, 44), 0.0154528979127994, False, 'time']
['purelife8899', 202595792, 'impression', '6', 241609571L, datetime.datetime(2013, 5, 29, 19, 3, 44), 0.0531193492692799, False, 'time']
['purelife8899', 202595792, 'impression', '3', 241610353L, datetime.datetime(2013, 5, 29, 19, 3, 44), 0.028860704066135, False, 'time']
['purelife8899', 202595792, 'impression', '12', 241608694L, datetime.datetime(2013, 5, 29, 19, 3, 44), 0.045387964968375, False, 'time']
['purelife8899', 202595792, 'impression', '14', 241608566L, datetime.datetime(2013, 5, 29, 19, 3, 44), 0.089125977953923, False, 'time']
['purelife8899', 202595792, 'impression', '13', 241608676L, datetime.datetime(2013, 5, 29, 19, 3, 44), 0.0344849199195434, False, 'time']
['purelife8899', 202595792, 'impression', '10', 241609103L, datetime.datetime(2013, 5, 29, 19, 3, 44), 0.136697180648193, False, 'time']
['purelife8899', 202595792, 'impression', '1', 241610673L, datetime.datetime(2013, 5, 29, 19, 3, 44), 0.0760808026607073, False, 'time']
['purelife8899', 202595792, 'impression', '4', 241610138L, datetime.datetime(2013, 5, 29, 19, 3, 44), 0.0594767428752327, False, 'time']
['purelife8899', 202595792, 'impression', '2', 241610504L, datetime.datetime(2013, 5, 29, 19, 3, 44), 0.0372335912810185, False, 'time']
['purelife8899', 202595792, 'impression', '5', 241610112L, datetime.datetime(2013, 5, 29, 19, 3, 44), 0.0481826604384432, False, 'time']
['purelife8899', 202595792, 'impression', '9', 241609204L, datetime.datetime(2013, 5, 29, 19, 3, 44), 0.146005486172309, True, 'time']
['purelife8899', 202595792, 'expand_tile', '9', 241609204L, datetime.datetime(2013, 5, 29, 19, 3, 57), 0.146005486172309, True, 'time']
['purelife8899', 202595792, 'view_full_application_via_name', '9', 241609204L, datetime.datetime(2013, 5, 29, 19, 4, 5), 0.146005486172309, True, 'time']

