['anouska-early', 202581785, 'view_full_application_via_name', '1', 241304284L, datetime.datetime(2013, 5, 26, 3, 12, 19), 0.246769695119207, False, 'best']
['anouska-early', 202581785, 'impression', '1', 241304284L, datetime.datetime(2013, 5, 26, 3, 13, 48), 0.246769695119207, False, 'best']
['anouska-early', 202581785, 'impression', '2', 241300572L, datetime.datetime(2013, 5, 26, 3, 13, 48), 0.203877528448094, False, 'best']
['anouska-early', 202581785, 'impression', '6', 241303673L, datetime.datetime(2013, 5, 26, 3, 13, 48), 0.0585681865171247, False, 'best']
['anouska-early', 202581785, 'impression', '3', 241300549L, datetime.datetime(2013, 5, 26, 3, 13, 48), 0.0851063807900816, False, 'best']
['anouska-early', 202581785, 'impression', '5', 241302861L, datetime.datetime(2013, 5, 26, 3, 13, 48), 0.0755498407105204, False, 'best']
['anouska-early', 202581785, 'impression', '4', 241299662L, datetime.datetime(2013, 5, 26, 3, 13, 48), 0.0821110551032103, False, 'best']

['anouska-early', 202581785, 'impression', '14', 241384891L, datetime.datetime(2013, 5, 27, 11, 2, 19), 0.144408584226392, False, 'best']
['anouska-early', 202581785, 'impression', '19', 241299662L, datetime.datetime(2013, 5, 27, 11, 2, 19), 0.0821110551032103, False, 'best']
['anouska-early', 202581785, 'impression', '2', 241353576L, datetime.datetime(2013, 5, 27, 11, 2, 19), 0.451530277724405, False, 'best']
['anouska-early', 202581785, 'impression', '4', 241335855L, datetime.datetime(2013, 5, 27, 11, 2, 19), 0.385619813229208, False, 'best']
['anouska-early', 202581785, 'impression', '20', 241302861L, datetime.datetime(2013, 5, 27, 11, 2, 19), 0.0755498407105204, False, 'best']
['anouska-early', 202581785, 'impression', '16', 241370714L, datetime.datetime(2013, 5, 27, 11, 2, 19), 0.125128251772482, False, 'best']
['anouska-early', 202581785, 'impression', '11', 241370753L, datetime.datetime(2013, 5, 27, 11, 2, 19), 0.19868602100327, False, 'best']
['anouska-early', 202581785, 'impression', '18', 241300549L, datetime.datetime(2013, 5, 27, 11, 2, 19), 0.0851063807900816, False, 'best']
['anouska-early', 202581785, 'impression', '12', 241328023L, datetime.datetime(2013, 5, 27, 11, 2, 19), 0.188900058401841, False, 'best']
['anouska-early', 202581785, 'impression', '1', 241314133L, datetime.datetime(2013, 5, 27, 11, 2, 19), 0.600076216532986, False, 'best']
['anouska-early', 202581785, 'impression', '15', 241341104L, datetime.datetime(2013, 5, 27, 11, 2, 19), 0.130903076673504, False, 'best']
['anouska-early', 202581785, 'impression', '3', 241323306L, datetime.datetime(2013, 5, 27, 11, 2, 19), 0.433295874419829, False, 'best']
['anouska-early', 202581785, 'impression', '5', 241391891L, datetime.datetime(2013, 5, 27, 11, 2, 19), 0.3392867301589, False, 'best']
