['aerialent', 202555023, 'impression', '18', 240749782L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.0147888849146084, False, 'time']
['aerialent', 202555023, 'impression', '8', 240764321L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.00904887131596049, False, 'time']
['aerialent', 202555023, 'impression', '2', 240938922L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.0346863461660194, False, 'time']
['aerialent', 202555023, 'impression', '14', 240753473L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.0124205097181478, False, 'time']
['aerialent', 202555023, 'impression', '13', 240754553L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.070400163927136, False, 'time']
['aerialent', 202555023, 'impression', '12', 240754979L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.0169658898098533, False, 'time']
['aerialent', 202555023, 'impression', '7', 240767099L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.0194523247654754, False, 'time']
['aerialent', 202555023, 'impression', '5', 240777480L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.0091533353433565, False, 'time']
['aerialent', 202555023, 'impression', '17', 240752257L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.0379896662960747, False, 'time']
['aerialent', 202555023, 'impression', '1', 241179550L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.0333430559012904, False, 'time']
['aerialent', 202555023, 'impression', '9', 240763684L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.0103101222618391, False, 'time']
['aerialent', 202555023, 'impression', '19', 240749476L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.0726396944263241, False, 'time']
['aerialent', 202555023, 'impression', '20', 240749420L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.0278609040617936, False, 'time']
['aerialent', 202555023, 'impression', '6', 240767639L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.223791630307351, False, 'time']
['aerialent', 202555023, 'impression', '15', 240752626L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.0137045427974586, False, 'time']
['aerialent', 202555023, 'impression', '16', 240752394L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.0275313714380657, False, 'time']
['aerialent', 202555023, 'impression', '4', 240867485L, datetime.datetime(2013, 5, 25, 17, 48, 19), 0.186990905645806, False, 'time']
['aerialent', 202555023, 'view_full_application_via_name', '2', 240938922L, datetime.datetime(2013, 5, 25, 17, 48, 25), 0.0346863461660194, False, 'time']
['aerialent', 202555023, 'impression', '13', 240754553L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.070400163927136, False, 'time']
['aerialent', 202555023, 'impression', '12', 240754979L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.0169658898098533, False, 'time']
['aerialent', 202555023, 'impression', '1', 241179550L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.0333430559012904, False, 'time']
['aerialent', 202555023, 'impression', '11', 240761539L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.0228390214839054, False, 'time']
['aerialent', 202555023, 'impression', '10', 240762198L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.0130398814954308, False, 'time']
['aerialent', 202555023, 'impression', '3', 240873780L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.0269859893466651, False, 'time']
['aerialent', 202555023, 'impression', '14', 240753473L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.0124205097181478, False, 'time']
['aerialent', 202555023, 'impression', '18', 240749782L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.0147888849146084, False, 'time']
['aerialent', 202555023, 'impression', '2', 240938922L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.0346863461660194, False, 'time']
['aerialent', 202555023, 'impression', '8', 240764321L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.00904887131596049, False, 'time']
['aerialent', 202555023, 'impression', '16', 240752394L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.0275313714380657, False, 'time']
['aerialent', 202555023, 'impression', '15', 240752626L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.0137045427974586, False, 'time']
['aerialent', 202555023, 'impression', '4', 240867485L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.186990905645806, False, 'time']
['aerialent', 202555023, 'impression', '19', 240749476L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.0726396944263241, False, 'time']
['aerialent', 202555023, 'impression', '20', 240749420L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.0278609040617936, False, 'time']
['aerialent', 202555023, 'impression', '6', 240767639L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.223791630307351, False, 'time']
['aerialent', 202555023, 'impression', '9', 240763684L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.0103101222618391, False, 'time']
['aerialent', 202555023, 'impression', '7', 240767099L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.0194523247654754, False, 'time']
['aerialent', 202555023, 'impression', '5', 240777480L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.0091533353433565, False, 'time']
['aerialent', 202555023, 'impression', '17', 240752257L, datetime.datetime(2013, 5, 25, 17, 51, 20), 0.0379896662960747, False, 'time']
['aerialent', 202555023, 'impression', '8', 240764321L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.00904887131596049, False, 'time']
['aerialent', 202555023, 'impression', '2', 240938922L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.0346863461660194, False, 'time']
['aerialent', 202555023, 'impression', '18', 240749782L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.0147888849146084, False, 'time']
['aerialent', 202555023, 'impression', '16', 240752394L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.0275313714380657, False, 'time']
['aerialent', 202555023, 'impression', '15', 240752626L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.0137045427974586, False, 'time']
['aerialent', 202555023, 'impression', '4', 240867485L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.186990905645806, False, 'time']
['aerialent', 202555023, 'impression', '3', 240873780L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.0269859893466651, False, 'time']
['aerialent', 202555023, 'impression', '10', 240762198L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.0130398814954308, False, 'time']
['aerialent', 202555023, 'impression', '11', 240761539L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.0228390214839054, False, 'time']
['aerialent', 202555023, 'impression', '13', 240754553L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.070400163927136, False, 'time']
['aerialent', 202555023, 'impression', '12', 240754979L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.0169658898098533, False, 'time']
['aerialent', 202555023, 'impression', '6', 240767639L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.223791630307351, False, 'time']
['aerialent', 202555023, 'impression', '20', 240749420L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.0278609040617936, False, 'time']
['aerialent', 202555023, 'impression', '19', 240749476L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.0726396944263241, False, 'time']
['aerialent', 202555023, 'impression', '9', 240763684L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.0103101222618391, False, 'time']
['aerialent', 202555023, 'impression', '14', 240753473L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.0124205097181478, False, 'time']
['aerialent', 202555023, 'impression', '1', 241179550L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.0333430559012904, False, 'time']
['aerialent', 202555023, 'impression', '17', 240752257L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.0379896662960747, False, 'time']
['aerialent', 202555023, 'impression', '5', 240777480L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.0091533353433565, False, 'time']
['aerialent', 202555023, 'impression', '7', 240767099L, datetime.datetime(2013, 5, 25, 17, 51, 43), 0.0194523247654754, False, 'time']
['aerialent', 202555023, 'impression', '11', 240761539L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.0228390214839054, False, 'time']
['aerialent', 202555023, 'impression', '10', 240762198L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.0130398814954308, False, 'time']
['aerialent', 202555023, 'impression', '3', 240873780L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.0269859893466651, False, 'time']
['aerialent', 202555023, 'impression', '18', 240749782L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.0147888849146084, False, 'time']
['aerialent', 202555023, 'impression', '8', 240764321L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.00904887131596049, False, 'time']
['aerialent', 202555023, 'impression', '2', 240938922L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.0346863461660194, False, 'time']
['aerialent', 202555023, 'impression', '7', 240767099L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.0194523247654754, False, 'time']
['aerialent', 202555023, 'impression', '17', 240752257L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.0379896662960747, False, 'time']
['aerialent', 202555023, 'impression', '5', 240777480L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.0091533353433565, False, 'time']
['aerialent', 202555023, 'impression', '15', 240752626L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.0137045427974586, False, 'time']
['aerialent', 202555023, 'impression', '4', 240867485L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.186990905645806, False, 'time']
['aerialent', 202555023, 'impression', '16', 240752394L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.0275313714380657, False, 'time']
['aerialent', 202555023, 'impression', '1', 241179550L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.0333430559012904, False, 'time']
['aerialent', 202555023, 'impression', '12', 240754979L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.0169658898098533, False, 'time']
['aerialent', 202555023, 'impression', '13', 240754553L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.070400163927136, False, 'time']
['aerialent', 202555023, 'impression', '14', 240753473L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.0124205097181478, False, 'time']
['aerialent', 202555023, 'impression', '20', 240749420L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.0278609040617936, False, 'time']
['aerialent', 202555023, 'impression', '9', 240763684L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.0103101222618391, False, 'time']
['aerialent', 202555023, 'impression', '6', 240767639L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.223791630307351, False, 'time']
['aerialent', 202555023, 'impression', '19', 240749476L, datetime.datetime(2013, 5, 25, 17, 52, 22), 0.0726396944263241, False, 'time']
['aerialent', 202555023, 'shortlist', '2', 240938922L, datetime.datetime(2013, 5, 25, 17, 52, 30), 0.0346863461660194, False, 'time']
['aerialent', 202555023, 'expand_tile', '2', 240938922L, datetime.datetime(2013, 5, 25, 17, 52, 33), 0.0346863461660194, False, 'time']
['aerialent', 202555023, 'view_full_application', '2', 240938922L, datetime.datetime(2013, 5, 25, 17, 52, 40), 0.0346863461660194, False, 'time']
['aerialent', 202555023, 'impression', '8', 240764321L, datetime.datetime(2013, 5, 25, 17, 53, 27), 0.00904887131596049, False, 'time']
['aerialent', 202555023, 'impression', '18', 240749782L, datetime.datetime(2013, 5, 25, 17, 53, 27), 0.0147888849146084, False, 'time']
['aerialent', 202555023, 'impression', '2', 240938922L, datetime.datetime(2013, 5, 25, 17, 53, 27), 0.0346863461660194, False, 'time']
['aerialent', 202555023, 'impression', '15', 240752626L, datetime.datetime(2013, 5, 25, 17, 53, 27), 0.0137045427974586, False, 'time']
['aerialent', 202555023, 'impression', '4', 240867485L, datetime.datetime(2013, 5, 25, 17, 53, 27), 0.186990905645806, False, 'time']
['aerialent', 202555023, 'impression', '16', 240752394L, datetime.datetime(2013, 5, 25, 17, 53, 27), 0.0275313714380657, False, 'time']
['aerialent', 202555023, 'impression', '17', 240752257L, datetime.datetime(2013, 5, 25, 17, 53, 27), 0.0379896662960747, False, 'time']
['aerialent', 202555023, 'impression', '5', 240777480L, datetime.datetime(2013, 5, 25, 17, 53, 27), 0.0091533353433565, False, 'time']
['aerialent', 202555023, 'impression', '7', 240767099L, datetime.datetime(2013, 5, 25, 17, 53, 27), 0.0194523247654754, False, 'time']
['aerialent', 202555023, 'impression', '14', 240753473L, datetime.datetime(2013, 5, 25, 17, 53, 27), 0.0124205097181478, False, 'time']
['aerialent', 202555023, 'impression', '12', 240754979L, datetime.datetime(2013, 5, 25, 17, 53, 27), 0.0169658898098533, False, 'time']
['aerialent', 202555023, 'impression', '13', 240754553L, datetime.datetime(2013, 5, 25, 17, 53, 27), 0.070400163927136, False, 'time']
['aerialent', 202555023, 'impression', '1', 241179550L, datetime.datetime(2013, 5, 25, 17, 53, 27), 0.0333430559012904, False, 'time']
['aerialent', 202555023, 'impression', '3', 240873780L, datetime.datetime(2013, 5, 25, 17, 53, 27), 0.0269859893466651, False, 'time']
['aerialent', 202555023, 'impression', '11', 240761539L, datetime.datetime(2013, 5, 25, 17, 53, 27), 0.0228390214839054, False, 'time']
