['maggie21', 202585218, 'impression', '1', 241405305L, datetime.datetime(2013, 5, 27, 21, 49, 57), 0.260234149364453, True, 'best']
['maggie21', 202585218, 'view_full_application_via_name', '6', 241417205L, datetime.datetime(2013, 5, 27, 21, 50, 10), 0.0940890145221737, False, 'best']
['maggie21', 202585218, 'impression', '9', 241398343L, datetime.datetime(2013, 5, 27, 21, 51, 52), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'impression', '10', 241394554L, datetime.datetime(2013, 5, 27, 21, 51, 52), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'impression', '8', 241417745L, datetime.datetime(2013, 5, 27, 21, 51, 52), 0.0732891715028988, False, 'best']
['maggie21', 202585218, 'impression', '6', 241417205L, datetime.datetime(2013, 5, 27, 21, 51, 52), 0.0940890145221737, False, 'best']
['maggie21', 202585218, 'impression', '11', 241381520L, datetime.datetime(2013, 5, 27, 21, 51, 52), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '5', 241392656L, datetime.datetime(2013, 5, 27, 21, 51, 52), 0.15651484561767, False, 'best']
['maggie21', 202585218, 'impression', '3', 241379815L, datetime.datetime(2013, 5, 27, 21, 51, 52), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '2', 241384736L, datetime.datetime(2013, 5, 27, 21, 51, 52), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '4', 241413701L, datetime.datetime(2013, 5, 27, 21, 51, 52), 0.159679199489183, False, 'best']
['maggie21', 202585218, 'impression', '1', 241405305L, datetime.datetime(2013, 5, 27, 21, 51, 52), 0.260234149364453, True, 'best']
['maggie21', 202585218, 'impression', '7', 241411290L, datetime.datetime(2013, 5, 27, 21, 51, 52), 0.0875514918342684, False, 'best']

['maggie21', 202585218, 'impression', '7', 241411290L, datetime.datetime(2013, 5, 28, 0, 9, 11), 0.0875514918342684, False, 'best']
['maggie21', 202585218, 'impression', '5', 241392656L, datetime.datetime(2013, 5, 28, 0, 9, 11), 0.15651484561767, False, 'best']
['maggie21', 202585218, 'impression', '3', 241379815L, datetime.datetime(2013, 5, 28, 0, 9, 11), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '9', 241398343L, datetime.datetime(2013, 5, 28, 0, 9, 11), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'impression', '4', 241413701L, datetime.datetime(2013, 5, 28, 0, 9, 11), 0.159679199489183, False, 'best']
['maggie21', 202585218, 'impression', '2', 241384736L, datetime.datetime(2013, 5, 28, 0, 9, 11), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '11', 241381520L, datetime.datetime(2013, 5, 28, 0, 9, 11), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '6', 241417205L, datetime.datetime(2013, 5, 28, 0, 9, 11), 0.0940890145221737, False, 'best']
['maggie21', 202585218, 'impression', '10', 241394554L, datetime.datetime(2013, 5, 28, 0, 9, 11), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'impression', '8', 241417745L, datetime.datetime(2013, 5, 28, 0, 9, 11), 0.0732891715028988, False, 'best']
['maggie21', 202585218, 'impression', '1', 241405305L, datetime.datetime(2013, 5, 28, 0, 9, 11), 0.260234149364453, True, 'best']
['maggie21', 202585218, 'view_full_application_via_name', '1', 241405305L, datetime.datetime(2013, 5, 28, 0, 9, 17), 0.260234149364453, True, 'best']
['maggie21', 202585218, 'impression', '2', 241384736L, datetime.datetime(2013, 5, 28, 0, 11, 30), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '4', 241413701L, datetime.datetime(2013, 5, 28, 0, 11, 30), 0.159679199489183, False, 'best']
['maggie21', 202585218, 'impression', '7', 241411290L, datetime.datetime(2013, 5, 28, 0, 11, 30), 0.0875514918342684, False, 'best']
['maggie21', 202585218, 'impression', '1', 241405305L, datetime.datetime(2013, 5, 28, 0, 11, 30), 0.260234149364453, True, 'best']
['maggie21', 202585218, 'impression', '5', 241392656L, datetime.datetime(2013, 5, 28, 0, 11, 30), 0.15651484561767, False, 'best']
['maggie21', 202585218, 'impression', '3', 241379815L, datetime.datetime(2013, 5, 28, 0, 11, 30), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '11', 241381520L, datetime.datetime(2013, 5, 28, 0, 11, 30), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '6', 241417205L, datetime.datetime(2013, 5, 28, 0, 11, 30), 0.0940890145221737, False, 'best']
['maggie21', 202585218, 'impression', '8', 241417745L, datetime.datetime(2013, 5, 28, 0, 11, 30), 0.0732891715028988, False, 'best']
['maggie21', 202585218, 'impression', '10', 241394554L, datetime.datetime(2013, 5, 28, 0, 11, 30), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'impression', '9', 241398343L, datetime.datetime(2013, 5, 28, 0, 11, 30), 0.0718458119087481, False, 'best']

['maggie21', 202585218, 'impression', '8', 241411290L, datetime.datetime(2013, 5, 28, 2, 3, 37), 0.0875514918342684, False, 'best']
['maggie21', 202585218, 'impression', '6', 241441383L, datetime.datetime(2013, 5, 28, 2, 3, 37), 0.101730849301788, False, 'best']
['maggie21', 202585218, 'impression', '10', 241398343L, datetime.datetime(2013, 5, 28, 2, 3, 37), 0.0718458119087481, False, 'best']
