['public_frontier8', 202580345, 'expand_tile', '2', 241268074L, datetime.datetime(2013, 5, 29, 0, 37, 40), 0.0347685722931675, False, 'best']
['public_frontier8', 202580345, 'impression', '2', 241268074L, datetime.datetime(2013, 5, 29, 0, 37, 40), 0.0347685722931675, False, 'best']
['public_frontier8', 202580345, 'impression', '4', 241384141L, datetime.datetime(2013, 5, 29, 0, 37, 40), 0.0212746361143402, False, 'best']
['public_frontier8', 202580345, 'impression', '1', 241400452L, datetime.datetime(2013, 5, 29, 0, 37, 40), 0.0638558927587153, False, 'best']
['public_frontier8', 202580345, 'impression', '5', 241276787L, datetime.datetime(2013, 5, 29, 0, 37, 40), 0.00535699820130966, False, 'best']
['public_frontier8', 202580345, 'impression', '6', 241269694L, datetime.datetime(2013, 5, 29, 0, 37, 40), 0.00427292232398303, False, 'best']
['public_frontier8', 202580345, 'impression', '3', 241270068L, datetime.datetime(2013, 5, 29, 0, 37, 40), 0.0314436227143859, False, 'best']
['public_frontier8', 202580345, 'view_full_application_via_name', '3', 241270068L, datetime.datetime(2013, 5, 29, 0, 37, 53), 0.0314436227143859, False, 'best']
['public_frontier8', 202580345, 'impression', '5', 241276787L, datetime.datetime(2013, 5, 29, 0, 38, 19), 0.00535699820130966, False, 'best']
['public_frontier8', 202580345, 'impression', '6', 241269694L, datetime.datetime(2013, 5, 29, 0, 38, 19), 0.00427292232398303, False, 'best']
['public_frontier8', 202580345, 'impression', '4', 241384141L, datetime.datetime(2013, 5, 29, 0, 38, 19), 0.0212746361143402, False, 'best']
['public_frontier8', 202580345, 'impression', '2', 241268074L, datetime.datetime(2013, 5, 29, 0, 38, 19), 0.0347685722931675, False, 'best']
['public_frontier8', 202580345, 'impression', '3', 241270068L, datetime.datetime(2013, 5, 29, 0, 38, 19), 0.0314436227143859, False, 'best']
['public_frontier8', 202580345, 'impression', '1', 241400452L, datetime.datetime(2013, 5, 29, 0, 38, 19), 0.0638558927587153, False, 'best']
['public_frontier8', 202580345, 'view_full_application_via_name', '1', 241400452L, datetime.datetime(2013, 5, 29, 0, 38, 24), 0.0638558927587153, False, 'best']
['public_frontier8', 202580345, 'impression', '1', 241400452L, datetime.datetime(2013, 5, 29, 0, 38, 39), 0.0638558927587153, False, 'best']
['public_frontier8', 202580345, 'impression', '2', 241268074L, datetime.datetime(2013, 5, 29, 0, 38, 39), 0.0347685722931675, False, 'best']
['public_frontier8', 202580345, 'impression', '4', 241384141L, datetime.datetime(2013, 5, 29, 0, 38, 39), 0.0212746361143402, False, 'best']
['public_frontier8', 202580345, 'impression', '3', 241270068L, datetime.datetime(2013, 5, 29, 0, 38, 39), 0.0314436227143859, False, 'best']
['public_frontier8', 202580345, 'impression', '6', 241269694L, datetime.datetime(2013, 5, 29, 0, 38, 39), 0.00427292232398303, False, 'best']
['public_frontier8', 202580345, 'impression', '5', 241276787L, datetime.datetime(2013, 5, 29, 0, 38, 39), 0.00535699820130966, False, 'best']

