['eriiczhao', 202590162, 'impression', '11', 241494188L, datetime.datetime(2013, 5, 29, 10, 51, 26), 0.065521022418122, False, 'time']
['eriiczhao', 202590162, 'impression', '10', 241494394L, datetime.datetime(2013, 5, 29, 10, 51, 26), 0.0457501165708903, False, 'time']
['eriiczhao', 202590162, 'impression', '4', 241520700L, datetime.datetime(2013, 5, 29, 10, 51, 26), 0.0681505171301324, False, 'time']
['eriiczhao', 202590162, 'impression', '1', 241570981L, datetime.datetime(2013, 5, 29, 10, 51, 26), 0.0437628143530951, False, 'time']
['eriiczhao', 202590162, 'impression', '8', 241495481L, datetime.datetime(2013, 5, 29, 10, 51, 26), 0.0672767329834426, False, 'time']
['eriiczhao', 202590162, 'impression', '7', 241497997L, datetime.datetime(2013, 5, 29, 10, 51, 41), 0.0303713155363274, False, 'time']
['eriiczhao', 202590162, 'impression', '11', 241494188L, datetime.datetime(2013, 5, 29, 10, 51, 41), 0.065521022418122, False, 'time']
['eriiczhao', 202590162, 'impression', '9', 241494953L, datetime.datetime(2013, 5, 29, 10, 51, 41), 0.0486422424350147, False, 'time']
['eriiczhao', 202590162, 'impression', '6', 241500626L, datetime.datetime(2013, 5, 29, 10, 51, 41), 0.0722195789334183, False, 'time']
['eriiczhao', 202590162, 'impression', '4', 241520700L, datetime.datetime(2013, 5, 29, 10, 51, 41), 0.0681505171301324, False, 'time']
['eriiczhao', 202590162, 'impression', '10', 241494394L, datetime.datetime(2013, 5, 29, 10, 51, 41), 0.0457501165708903, False, 'time']
['eriiczhao', 202590162, 'impression', '8', 241495481L, datetime.datetime(2013, 5, 29, 10, 51, 41), 0.0672767329834426, False, 'time']
['eriiczhao', 202590162, 'impression', '3', 241549291L, datetime.datetime(2013, 5, 29, 10, 51, 41), 0.0248006699176499, False, 'time']
['eriiczhao', 202590162, 'impression', '5', 241503063L, datetime.datetime(2013, 5, 29, 10, 51, 41), 0.0577860120940321, False, 'time']
['eriiczhao', 202590162, 'impression', '2', 241566499L, datetime.datetime(2013, 5, 29, 10, 51, 41), 0.0334333538689494, True, 'time']
['eriiczhao', 202590162, 'impression', '1', 241570981L, datetime.datetime(2013, 5, 29, 10, 51, 41), 0.0437628143530951, False, 'time']
['eriiczhao', 202590162, 'view_full_application_via_name', '1', 241570981L, datetime.datetime(2013, 5, 29, 10, 51, 42), 0.0437628143530951, False, 'time']

['eriiczhao', 202590162, 'impression', '9', 241495481L, datetime.datetime(2013, 5, 29, 12, 27, 12), 0.0672767329834426, False, 'time']
['eriiczhao', 202590162, 'impression', '3', 241566499L, datetime.datetime(2013, 5, 29, 12, 27, 12), 0.0334333538689494, True, 'time']
['eriiczhao', 202590162, 'impression', '1', 241577994L, datetime.datetime(2013, 5, 29, 12, 27, 12), 0.0345737648759295, False, 'time']
['eriiczhao', 202590162, 'impression', '2', 241570981L, datetime.datetime(2013, 5, 29, 12, 27, 12), 0.0437628143530951, False, 'time']
['eriiczhao', 202590162, 'impression', '4', 241549291L, datetime.datetime(2013, 5, 29, 12, 27, 12), 0.0248006699176499, False, 'time']
['eriiczhao', 202590162, 'impression', '6', 241503063L, datetime.datetime(2013, 5, 29, 12, 27, 12), 0.0577860120940321, False, 'time']
['eriiczhao', 202590162, 'impression', '11', 241494394L, datetime.datetime(2013, 5, 29, 12, 27, 12), 0.0457501165708903, False, 'time']
['eriiczhao', 202590162, 'impression', '5', 241520700L, datetime.datetime(2013, 5, 29, 12, 27, 12), 0.0681505171301324, False, 'time']
['eriiczhao', 202590162, 'impression', '7', 241500626L, datetime.datetime(2013, 5, 29, 12, 27, 12), 0.0722195789334183, False, 'time']
['eriiczhao', 202590162, 'impression', '8', 241497997L, datetime.datetime(2013, 5, 29, 12, 27, 12), 0.0303713155363274, False, 'time']
['eriiczhao', 202590162, 'impression', '12', 241494188L, datetime.datetime(2013, 5, 29, 12, 27, 12), 0.065521022418122, False, 'time']
['eriiczhao', 202590162, 'impression', '10', 241494953L, datetime.datetime(2013, 5, 29, 12, 27, 12), 0.0486422424350147, False, 'time']

['eriiczhao', 202590162, 'impression', '6', 241520700L, datetime.datetime(2013, 5, 29, 14, 12, 45), 0.0681505171301324, False, 'time']
['eriiczhao', 202590162, 'impression', '12', 241494394L, datetime.datetime(2013, 5, 29, 14, 12, 45), 0.0457501165708903, False, 'time']
['eriiczhao', 202590162, 'impression', '1', 241585527L, datetime.datetime(2013, 5, 29, 14, 12, 45), 0.0408361638580178, False, 'time']
['eriiczhao', 202590162, 'impression', '10', 241495481L, datetime.datetime(2013, 5, 29, 14, 12, 45), 0.0672767329834426, False, 'time']
['eriiczhao', 202590162, 'impression', '13', 241494188L, datetime.datetime(2013, 5, 29, 14, 12, 45), 0.065521022418122, False, 'time']
['eriiczhao', 202590162, 'impression', '11', 241494953L, datetime.datetime(2013, 5, 29, 14, 12, 45), 0.0486422424350147, False, 'time']
['eriiczhao', 202590162, 'impression', '8', 241500626L, datetime.datetime(2013, 5, 29, 14, 12, 45), 0.0722195789334183, False, 'time']
['eriiczhao', 202590162, 'impression', '9', 241497997L, datetime.datetime(2013, 5, 29, 14, 12, 45), 0.0303713155363274, False, 'time']
['eriiczhao', 202590162, 'impression', '5', 241549291L, datetime.datetime(2013, 5, 29, 14, 12, 45), 0.0248006699176499, False, 'time']
['eriiczhao', 202590162, 'impression', '7', 241503063L, datetime.datetime(2013, 5, 29, 14, 12, 45), 0.0577860120940321, False, 'time']
['eriiczhao', 202590162, 'impression', '3', 241570981L, datetime.datetime(2013, 5, 29, 14, 12, 45), 0.0437628143530951, False, 'time']
