['pierrewilly', 202573607, 'impression', '6', 241127494L, datetime.datetime(2013, 5, 24, 3, 58, 2), 0.108050163449255, False, 'best']
['pierrewilly', 202573607, 'impression', '4', 241125809L, datetime.datetime(2013, 5, 24, 3, 58, 2), 0.113475530868172, False, 'best']
['pierrewilly', 202573607, 'impression', '13', 241136132L, datetime.datetime(2013, 5, 24, 3, 58, 2), 0.0235680862507331, False, 'best']
['pierrewilly', 202573607, 'impression', '5', 241124284L, datetime.datetime(2013, 5, 24, 3, 58, 2), 0.112224630696818, False, 'best']
['pierrewilly', 202573607, 'impression', '1', 241123272L, datetime.datetime(2013, 5, 24, 3, 58, 2), 0.223432839851536, False, 'best']
['pierrewilly', 202573607, 'impression', '2', 241124549L, datetime.datetime(2013, 5, 24, 3, 58, 2), 0.176578639053607, False, 'best']
['pierrewilly', 202573607, 'impression', '11', 241127832L, datetime.datetime(2013, 5, 24, 3, 58, 2), 0.034402719998174, False, 'best']
['pierrewilly', 202573607, 'impression', '3', 241123054L, datetime.datetime(2013, 5, 24, 3, 58, 2), 0.12035260499171, False, 'best']
['pierrewilly', 202573607, 'impression', '10', 241127014L, datetime.datetime(2013, 5, 24, 3, 58, 2), 0.0469555780137734, True, 'best']
['pierrewilly', 202573607, 'impression', '12', 241127703L, datetime.datetime(2013, 5, 24, 3, 58, 2), 0.0314716821046468, False, 'best']
['pierrewilly', 202573607, 'impression', '7', 241121196L, datetime.datetime(2013, 5, 24, 3, 58, 2), 0.104309361502419, False, 'best']
['pierrewilly', 202573607, 'expand_tile', '1', 241123272L, datetime.datetime(2013, 5, 24, 3, 58, 12), 0.223432839851536, False, 'best']
['pierrewilly', 202573607, 'view_full_application', '1', 241123272L, datetime.datetime(2013, 5, 24, 3, 58, 19), 0.223432839851536, False, 'best']
['pierrewilly', 202573607, 'impression', '9', 241131455L, datetime.datetime(2013, 5, 24, 3, 58, 40), 0.0798949413163448, False, 'best']
['pierrewilly', 202573607, 'impression', '8', 241122836L, datetime.datetime(2013, 5, 24, 3, 58, 40), 0.0975638461640881, True, 'best']
['pierrewilly', 202573607, 'impression', '13', 241136132L, datetime.datetime(2013, 5, 24, 3, 58, 40), 0.0235680862507331, False, 'best']
['pierrewilly', 202573607, 'impression', '4', 241125809L, datetime.datetime(2013, 5, 24, 3, 58, 40), 0.113475530868172, False, 'best']
['pierrewilly', 202573607, 'impression', '6', 241127494L, datetime.datetime(2013, 5, 24, 3, 58, 40), 0.108050163449255, False, 'best']
['pierrewilly', 202573607, 'impression', '7', 241121196L, datetime.datetime(2013, 5, 24, 3, 58, 40), 0.104309361502419, False, 'best']
['pierrewilly', 202573607, 'impression', '10', 241127014L, datetime.datetime(2013, 5, 24, 3, 58, 40), 0.0469555780137734, True, 'best']
['pierrewilly', 202573607, 'impression', '3', 241123054L, datetime.datetime(2013, 5, 24, 3, 58, 40), 0.12035260499171, False, 'best']
['pierrewilly', 202573607, 'impression', '2', 241124549L, datetime.datetime(2013, 5, 24, 3, 58, 40), 0.176578639053607, False, 'best']
['pierrewilly', 202573607, 'impression', '5', 241124284L, datetime.datetime(2013, 5, 24, 3, 58, 40), 0.112224630696818, False, 'best']
['pierrewilly', 202573607, 'impression', '1', 241123272L, datetime.datetime(2013, 5, 24, 3, 58, 40), 0.223432839851536, False, 'best']
['pierrewilly', 202573607, 'impression', '11', 241127832L, datetime.datetime(2013, 5, 24, 3, 58, 40), 0.034402719998174, False, 'best']
['pierrewilly', 202573607, 'impression', '12', 241127703L, datetime.datetime(2013, 5, 24, 3, 58, 40), 0.0314716821046468, False, 'best']
['pierrewilly', 202573607, 'expand_tile', '3', 241123054L, datetime.datetime(2013, 5, 24, 3, 58, 51), 0.12035260499171, False, 'best']
['pierrewilly', 202573607, 'view_full_application', '3', 241123054L, datetime.datetime(2013, 5, 24, 3, 58, 55), 0.12035260499171, False, 'best']
['pierrewilly', 202573607, 'impression', '9', 241131455L, datetime.datetime(2013, 5, 24, 4, 0), 0.0798949413163448, False, 'best']
['pierrewilly', 202573607, 'impression', '8', 241122836L, datetime.datetime(2013, 5, 24, 4, 0), 0.0975638461640881, True, 'best']
['pierrewilly', 202573607, 'impression', '6', 241127494L, datetime.datetime(2013, 5, 24, 4, 0), 0.108050163449255, False, 'best']
['pierrewilly', 202573607, 'impression', '13', 241136132L, datetime.datetime(2013, 5, 24, 4, 0), 0.0235680862507331, False, 'best']
['pierrewilly', 202573607, 'impression', '4', 241125809L, datetime.datetime(2013, 5, 24, 4, 0), 0.113475530868172, False, 'best']
['pierrewilly', 202573607, 'impression', '5', 241124284L, datetime.datetime(2013, 5, 24, 4, 0), 0.112224630696818, False, 'best']
['pierrewilly', 202573607, 'impression', '2', 241124549L, datetime.datetime(2013, 5, 24, 4, 0), 0.176578639053607, False, 'best']
['pierrewilly', 202573607, 'impression', '1', 241123272L, datetime.datetime(2013, 5, 24, 4, 0), 0.223432839851536, False, 'best']
['pierrewilly', 202573607, 'impression', '11', 241127832L, datetime.datetime(2013, 5, 24, 4, 0), 0.034402719998174, False, 'best']
['pierrewilly', 202573607, 'impression', '3', 241123054L, datetime.datetime(2013, 5, 24, 4, 0), 0.12035260499171, False, 'best']
['pierrewilly', 202573607, 'impression', '10', 241127014L, datetime.datetime(2013, 5, 24, 4, 0), 0.0469555780137734, True, 'best']
['pierrewilly', 202573607, 'impression', '7', 241121196L, datetime.datetime(2013, 5, 24, 4, 0), 0.104309361502419, False, 'best']
['pierrewilly', 202573607, 'impression', '12', 241127703L, datetime.datetime(2013, 5, 24, 4, 0), 0.0314716821046468, False, 'best']
['pierrewilly', 202573607, 'expand_tile', '4', 241125809L, datetime.datetime(2013, 5, 24, 4, 0, 26), 0.113475530868172, False, 'best']
['pierrewilly', 202573607, 'view_full_application', '4', 241125809L, datetime.datetime(2013, 5, 24, 4, 0, 32), 0.113475530868172, False, 'best']
['pierrewilly', 202573607, 'impression', '7', 241121196L, datetime.datetime(2013, 5, 24, 4, 1, 2), 0.104309361502419, False, 'best']
['pierrewilly', 202573607, 'impression', '2', 241124549L, datetime.datetime(2013, 5, 24, 4, 1, 2), 0.176578639053607, False, 'best']
['pierrewilly', 202573607, 'impression', '5', 241124284L, datetime.datetime(2013, 5, 24, 4, 1, 2), 0.112224630696818, False, 'best']
['pierrewilly', 202573607, 'impression', '1', 241123272L, datetime.datetime(2013, 5, 24, 4, 1, 2), 0.223432839851536, False, 'best']
['pierrewilly', 202573607, 'impression', '6', 241127494L, datetime.datetime(2013, 5, 24, 4, 1, 2), 0.108050163449255, False, 'best']
['pierrewilly', 202573607, 'impression', '13', 241136132L, datetime.datetime(2013, 5, 24, 4, 1, 2), 0.0235680862507331, False, 'best']
['pierrewilly', 202573607, 'impression', '4', 241125809L, datetime.datetime(2013, 5, 24, 4, 1, 2), 0.113475530868172, False, 'best']
['pierrewilly', 202573607, 'impression', '12', 241127703L, datetime.datetime(2013, 5, 24, 4, 1, 2), 0.0314716821046468, False, 'best']
['pierrewilly', 202573607, 'impression', '10', 241127014L, datetime.datetime(2013, 5, 24, 4, 1, 2), 0.0469555780137734, True, 'best']
['pierrewilly', 202573607, 'impression', '3', 241123054L, datetime.datetime(2013, 5, 24, 4, 1, 2), 0.12035260499171, False, 'best']
['pierrewilly', 202573607, 'impression', '8', 241122836L, datetime.datetime(2013, 5, 24, 4, 1, 2), 0.0975638461640881, True, 'best']
