['jkriesel', 202568779, 'impression', '3', 241026667L, datetime.datetime(2013, 5, 22, 16, 10, 4), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '7', 241027486L, datetime.datetime(2013, 5, 22, 16, 10, 4), 0.0138057006617946, False, 'best']
['jkriesel', 202568779, 'impression', '9', 241027615L, datetime.datetime(2013, 5, 22, 16, 10, 4), 0.00748181247553423, False, 'best']
['jkriesel', 202568779, 'impression', '5', 241027687L, datetime.datetime(2013, 5, 22, 16, 10, 4), 0.0180910899634155, False, 'best']
['jkriesel', 202568779, 'impression', '10', 241028959L, datetime.datetime(2013, 5, 22, 16, 10, 4), 0.00715139032643264, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241028812L, datetime.datetime(2013, 5, 22, 16, 10, 4), 0.0229011183314384, False, 'best']
['jkriesel', 202568779, 'impression', '4', 241028451L, datetime.datetime(2013, 5, 22, 16, 10, 4), 0.0206029938638295, False, 'best']
['jkriesel', 202568779, 'view_full_application_via_name', '2', 241028812L, datetime.datetime(2013, 5, 22, 16, 10, 6), 0.0229011183314384, False, 'best']
['jkriesel', 202568779, 'impression', '8', 241028346L, datetime.datetime(2013, 5, 22, 16, 11, 44), 0.00957688048784815, False, 'best']
['jkriesel', 202568779, 'impression', '13', 241030234L, datetime.datetime(2013, 5, 22, 16, 11, 44), 0.00587402331941246, False, 'best']
['jkriesel', 202568779, 'impression', '4', 241028451L, datetime.datetime(2013, 5, 22, 16, 11, 44), 0.0206029938638295, False, 'best']
['jkriesel', 202568779, 'impression', '6', 241026703L, datetime.datetime(2013, 5, 22, 16, 11, 44), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'impression', '1', 241027325L, datetime.datetime(2013, 5, 22, 16, 11, 44), 0.0276773278628381, False, 'best']
['jkriesel', 202568779, 'impression', '12', 241027020L, datetime.datetime(2013, 5, 22, 16, 11, 44), 0.00662675524490919, False, 'best']
['jkriesel', 202568779, 'impression', '11', 241027803L, datetime.datetime(2013, 5, 22, 16, 11, 44), 0.00685254397958293, False, 'best']
['jkriesel', 202568779, 'impression', '5', 241027687L, datetime.datetime(2013, 5, 22, 16, 11, 44), 0.0180910899634155, False, 'best']
['jkriesel', 202568779, 'impression', '9', 241027615L, datetime.datetime(2013, 5, 22, 16, 11, 44), 0.00748181247553423, False, 'best']
['jkriesel', 202568779, 'impression', '3', 241026667L, datetime.datetime(2013, 5, 22, 16, 11, 44), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '7', 241027486L, datetime.datetime(2013, 5, 22, 16, 11, 44), 0.0138057006617946, False, 'best']
['jkriesel', 202568779, 'impression', '10', 241028959L, datetime.datetime(2013, 5, 22, 16, 11, 44), 0.00715139032643264, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241028812L, datetime.datetime(2013, 5, 22, 16, 11, 44), 0.0229011183314384, False, 'best']
['jkriesel', 202568779, 'view_full_application_via_name', '4', 241028451L, datetime.datetime(2013, 5, 22, 16, 11, 54), 0.0206029938638295, False, 'best']
['jkriesel', 202568779, 'impression', '9', 241027615L, datetime.datetime(2013, 5, 22, 16, 12, 38), 0.00748181247553423, False, 'best']
['jkriesel', 202568779, 'impression', '5', 241027687L, datetime.datetime(2013, 5, 22, 16, 12, 38), 0.0180910899634155, False, 'best']
['jkriesel', 202568779, 'impression', '7', 241027486L, datetime.datetime(2013, 5, 22, 16, 12, 38), 0.0138057006617946, False, 'best']
['jkriesel', 202568779, 'impression', '3', 241026667L, datetime.datetime(2013, 5, 22, 16, 12, 38), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '4', 241028451L, datetime.datetime(2013, 5, 22, 16, 12, 38), 0.0206029938638295, False, 'best']
['jkriesel', 202568779, 'impression', '8', 241028346L, datetime.datetime(2013, 5, 22, 16, 12, 38), 0.00957688048784815, False, 'best']
['jkriesel', 202568779, 'impression', '13', 241030234L, datetime.datetime(2013, 5, 22, 16, 12, 38), 0.00587402331941246, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241028812L, datetime.datetime(2013, 5, 22, 16, 12, 38), 0.0229011183314384, False, 'best']
['jkriesel', 202568779, 'impression', '10', 241028959L, datetime.datetime(2013, 5, 22, 16, 12, 38), 0.00715139032643264, False, 'best']
['jkriesel', 202568779, 'impression', '11', 241027803L, datetime.datetime(2013, 5, 22, 16, 12, 38), 0.00685254397958293, False, 'best']
['jkriesel', 202568779, 'impression', '6', 241026703L, datetime.datetime(2013, 5, 22, 16, 12, 38), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'impression', '1', 241027325L, datetime.datetime(2013, 5, 22, 16, 12, 38), 0.0276773278628381, False, 'best']
['jkriesel', 202568779, 'impression', '12', 241027020L, datetime.datetime(2013, 5, 22, 16, 12, 38), 0.00662675524490919, False, 'best']
['jkriesel', 202568779, 'view_full_application_via_name', '5', 241027687L, datetime.datetime(2013, 5, 22, 16, 12, 49), 0.0180910899634155, False, 'best']
['jkriesel', 202568779, 'impression', '6', 241026703L, datetime.datetime(2013, 5, 22, 16, 13), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'impression', '12', 241027020L, datetime.datetime(2013, 5, 22, 16, 13), 0.00662675524490919, False, 'best']
['jkriesel', 202568779, 'impression', '11', 241027803L, datetime.datetime(2013, 5, 22, 16, 13), 0.00685254397958293, False, 'best']
['jkriesel', 202568779, 'impression', '1', 241027325L, datetime.datetime(2013, 5, 22, 16, 13), 0.0276773278628381, False, 'best']
['jkriesel', 202568779, 'impression', '13', 241030234L, datetime.datetime(2013, 5, 22, 16, 13), 0.00587402331941246, False, 'best']
['jkriesel', 202568779, 'impression', '8', 241028346L, datetime.datetime(2013, 5, 22, 16, 13), 0.00957688048784815, False, 'best']
['jkriesel', 202568779, 'impression', '4', 241028451L, datetime.datetime(2013, 5, 22, 16, 13), 0.0206029938638295, False, 'best']
['jkriesel', 202568779, 'impression', '10', 241028959L, datetime.datetime(2013, 5, 22, 16, 13), 0.00715139032643264, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241028812L, datetime.datetime(2013, 5, 22, 16, 13), 0.0229011183314384, False, 'best']
['jkriesel', 202568779, 'impression', '5', 241027687L, datetime.datetime(2013, 5, 22, 16, 13), 0.0180910899634155, False, 'best']
['jkriesel', 202568779, 'impression', '9', 241027615L, datetime.datetime(2013, 5, 22, 16, 13), 0.00748181247553423, False, 'best']
['jkriesel', 202568779, 'impression', '3', 241026667L, datetime.datetime(2013, 5, 22, 16, 13), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '7', 241027486L, datetime.datetime(2013, 5, 22, 16, 13), 0.0138057006617946, False, 'best']
['jkriesel', 202568779, 'view_full_application_via_name', '3', 241026667L, datetime.datetime(2013, 5, 22, 16, 13, 9), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241028812L, datetime.datetime(2013, 5, 22, 16, 13, 26), 0.0229011183314384, False, 'best']
['jkriesel', 202568779, 'impression', '10', 241028959L, datetime.datetime(2013, 5, 22, 16, 13, 26), 0.00715139032643264, False, 'best']
['jkriesel', 202568779, 'impression', '6', 241026703L, datetime.datetime(2013, 5, 22, 16, 13, 26), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'impression', '12', 241027020L, datetime.datetime(2013, 5, 22, 16, 13, 26), 0.00662675524490919, False, 'best']
['jkriesel', 202568779, 'impression', '11', 241027803L, datetime.datetime(2013, 5, 22, 16, 13, 26), 0.00685254397958293, False, 'best']
['jkriesel', 202568779, 'impression', '1', 241027325L, datetime.datetime(2013, 5, 22, 16, 13, 26), 0.0276773278628381, False, 'best']
['jkriesel', 202568779, 'impression', '8', 241028346L, datetime.datetime(2013, 5, 22, 16, 13, 26), 0.00957688048784815, False, 'best']
['jkriesel', 202568779, 'impression', '13', 241030234L, datetime.datetime(2013, 5, 22, 16, 13, 26), 0.00587402331941246, False, 'best']
['jkriesel', 202568779, 'impression', '7', 241027486L, datetime.datetime(2013, 5, 22, 16, 13, 26), 0.0138057006617946, False, 'best']
['jkriesel', 202568779, 'impression', '3', 241026667L, datetime.datetime(2013, 5, 22, 16, 13, 26), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '5', 241027687L, datetime.datetime(2013, 5, 22, 16, 13, 26), 0.0180910899634155, False, 'best']
['jkriesel', 202568779, 'impression', '9', 241027615L, datetime.datetime(2013, 5, 22, 16, 13, 26), 0.00748181247553423, False, 'best']
['jkriesel', 202568779, 'impression', '4', 241028451L, datetime.datetime(2013, 5, 22, 16, 13, 26), 0.0206029938638295, False, 'best']
['jkriesel', 202568779, 'hide', '4', 241028451L, datetime.datetime(2013, 5, 22, 16, 13, 33), 0.0206029938638295, False, 'best']
['jkriesel', 202568779, 'hide', '5', 241027687L, datetime.datetime(2013, 5, 22, 16, 13, 34), 0.0180910899634155, False, 'best']
['jkriesel', 202568779, 'view_full_application_via_name', '6', 241026703L, datetime.datetime(2013, 5, 22, 16, 13, 40), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'impression', '6', 241028346L, datetime.datetime(2013, 5, 22, 16, 13, 48), 0.00957688048784815, False, 'best']
['jkriesel', 202568779, 'impression', '11', 241030234L, datetime.datetime(2013, 5, 22, 16, 13, 48), 0.00587402331941246, False, 'best']
['jkriesel', 202568779, 'impression', '10', 241027020L, datetime.datetime(2013, 5, 22, 16, 13, 48), 0.00662675524490919, False, 'best']
['jkriesel', 202568779, 'impression', '9', 241027803L, datetime.datetime(2013, 5, 22, 16, 13, 48), 0.00685254397958293, False, 'best']
['jkriesel', 202568779, 'impression', '1', 241027325L, datetime.datetime(2013, 5, 22, 16, 13, 48), 0.0276773278628381, False, 'best']
['jkriesel', 202568779, 'impression', '4', 241026703L, datetime.datetime(2013, 5, 22, 16, 13, 48), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'impression', '7', 241027615L, datetime.datetime(2013, 5, 22, 16, 13, 48), 0.00748181247553423, False, 'best']
['jkriesel', 202568779, 'impression', '5', 241027486L, datetime.datetime(2013, 5, 22, 16, 13, 48), 0.0138057006617946, False, 'best']
['jkriesel', 202568779, 'impression', '3', 241026667L, datetime.datetime(2013, 5, 22, 16, 13, 48), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '8', 241028959L, datetime.datetime(2013, 5, 22, 16, 13, 48), 0.00715139032643264, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241028812L, datetime.datetime(2013, 5, 22, 16, 13, 48), 0.0229011183314384, False, 'best']
['jkriesel', 202568779, 'view_full_application_via_name', '6', 241028346L, datetime.datetime(2013, 5, 22, 16, 13, 54), 0.00957688048784815, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241028812L, datetime.datetime(2013, 5, 22, 16, 14, 42), 0.0229011183314384, False, 'best']
['jkriesel', 202568779, 'impression', '8', 241028959L, datetime.datetime(2013, 5, 22, 16, 14, 42), 0.00715139032643264, False, 'best']
['jkriesel', 202568779, 'impression', '3', 241026667L, datetime.datetime(2013, 5, 22, 16, 14, 42), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '5', 241027486L, datetime.datetime(2013, 5, 22, 16, 14, 42), 0.0138057006617946, False, 'best']
['jkriesel', 202568779, 'impression', '7', 241027615L, datetime.datetime(2013, 5, 22, 16, 14, 42), 0.00748181247553423, False, 'best']
['jkriesel', 202568779, 'impression', '6', 241028346L, datetime.datetime(2013, 5, 22, 16, 14, 42), 0.00957688048784815, False, 'best']
['jkriesel', 202568779, 'impression', '12', 241030234L, datetime.datetime(2013, 5, 22, 16, 14, 42), 0.00587402331941246, False, 'best']
['jkriesel', 202568779, 'impression', '10', 241030582L, datetime.datetime(2013, 5, 22, 16, 14, 42), 0.00664372518269669, False, 'best']
['jkriesel', 202568779, 'impression', '11', 241027020L, datetime.datetime(2013, 5, 22, 16, 14, 42), 0.00662675524490919, False, 'best']
['jkriesel', 202568779, 'impression', '1', 241027325L, datetime.datetime(2013, 5, 22, 16, 14, 42), 0.0276773278628381, False, 'best']
['jkriesel', 202568779, 'impression', '4', 241026703L, datetime.datetime(2013, 5, 22, 16, 14, 42), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'impression', '9', 241027803L, datetime.datetime(2013, 5, 22, 16, 14, 42), 0.00685254397958293, False, 'best']
['jkriesel', 202568779, 'view_full_application_via_name', '7', 241027615L, datetime.datetime(2013, 5, 22, 16, 14, 46), 0.00748181247553423, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241028812L, datetime.datetime(2013, 5, 22, 16, 15, 12), 0.0229011183314384, False, 'best']
['jkriesel', 202568779, 'impression', '8', 241028959L, datetime.datetime(2013, 5, 22, 16, 15, 12), 0.00715139032643264, False, 'best']
['jkriesel', 202568779, 'impression', '4', 241026703L, datetime.datetime(2013, 5, 22, 16, 15, 12), 0.0167532730753305, False, 'best']
