['fcwaters', 202565428, 'impression', '11', 240964082L, datetime.datetime(2013, 5, 21, 22, 22, 39), 0.18111398492504, False, 'best']
['fcwaters', 202565428, 'impression', '14', 240962980L, datetime.datetime(2013, 5, 21, 22, 22, 39), 0.0907038239951032, False, 'best']
['fcwaters', 202565428, 'impression', '12', 240962530L, datetime.datetime(2013, 5, 21, 22, 22, 39), 0.137107380772146, False, 'best']
['fcwaters', 202565428, 'impression', '7', 240962651L, datetime.datetime(2013, 5, 21, 22, 22, 39), 0.299431496199009, False, 'best']
['fcwaters', 202565428, 'impression', '8', 240963077L, datetime.datetime(2013, 5, 21, 22, 22, 39), 0.278365187287015, False, 'best']
['fcwaters', 202565428, 'impression', '1', 240962501L, datetime.datetime(2013, 5, 21, 22, 22, 39), 0.741092578133761, False, 'best']
['fcwaters', 202565428, 'impression', '2', 240962724L, datetime.datetime(2013, 5, 21, 22, 22, 39), 0.371590231922812, False, 'best']
['fcwaters', 202565428, 'impression', '2', 240962724L, datetime.datetime(2013, 5, 21, 22, 22, 48), 0.371590231922812, False, 'best']
['fcwaters', 202565428, 'impression', '2', 240962724L, datetime.datetime(2013, 5, 21, 22, 22, 59), 0.371590231922812, False, 'best']
['fcwaters', 202565428, 'view_full_application_via_name', '9', 240964260L, datetime.datetime(2013, 5, 21, 22, 23, 15), 0.261131456866661, False, 'best']
['fcwaters', 202565428, 'impression', '2', 240963030L, datetime.datetime(2013, 5, 21, 22, 23, 35), 0.335891156235062, False, 'best']
['fcwaters', 202565428, 'impression', '14', 240962569L, datetime.datetime(2013, 5, 21, 22, 23, 35), 0.0804129088219444, False, 'best']
['fcwaters', 202565428, 'impression', '10', 240964082L, datetime.datetime(2013, 5, 21, 22, 23, 35), 0.18111398492504, False, 'best']
['fcwaters', 202565428, 'impression', '7', 240963077L, datetime.datetime(2013, 5, 21, 22, 23, 35), 0.278365187287015, False, 'best']
['fcwaters', 202565428, 'impression', '6', 240962651L, datetime.datetime(2013, 5, 21, 22, 23, 35), 0.299431496199009, False, 'best']
['fcwaters', 202565428, 'impression', '8', 240964260L, datetime.datetime(2013, 5, 21, 22, 23, 35), 0.261131456866661, False, 'best']
['fcwaters', 202565428, 'impression', '5', 240964698L, datetime.datetime(2013, 5, 21, 22, 23, 35), 0.317962808687826, False, 'best']
['fcwaters', 202565428, 'impression', '12', 240964850L, datetime.datetime(2013, 5, 21, 22, 23, 35), 0.0994331241950879, False, 'best']
['fcwaters', 202565428, 'impression', '16', 240963192L, datetime.datetime(2013, 5, 21, 22, 23, 35), 0.0, False, 'best']
['fcwaters', 202565428, 'impression', '4', 240963096L, datetime.datetime(2013, 5, 21, 22, 23, 35), 0.33062260811329, False, 'best']
['fcwaters', 202565428, 'impression', '3', 240962937L, datetime.datetime(2013, 5, 21, 22, 23, 35), 0.334718804995634, False, 'best']
['fcwaters', 202565428, 'impression', '15', 240963794L, datetime.datetime(2013, 5, 21, 22, 23, 35), 0.0144623109529101, False, 'best']
['fcwaters', 202565428, 'impression', '1', 240962501L, datetime.datetime(2013, 5, 21, 22, 23, 35), 0.741092578133761, False, 'best']
['fcwaters', 202565428, 'impression', '13', 240962980L, datetime.datetime(2013, 5, 21, 22, 23, 35), 0.0907038239951032, False, 'best']
['fcwaters', 202565428, 'impression', '11', 240962530L, datetime.datetime(2013, 5, 21, 22, 23, 35), 0.137107380772146, False, 'best']
['fcwaters', 202565428, 'impression', '9', 240964629L, datetime.datetime(2013, 5, 21, 22, 23, 35), 0.221228509712675, False, 'best']
['fcwaters', 202565428, 'expand_tile', '2', 240963030L, datetime.datetime(2013, 5, 21, 22, 25, 20), 0.335891156235062, False, 'best']
['fcwaters', 202565428, 'view_full_application', '2', 240963030L, datetime.datetime(2013, 5, 21, 22, 25, 25), 0.335891156235062, False, 'best']
['fcwaters', 202565428, 'impression', '7', 240962651L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.299431496199009, False, 'best']
['fcwaters', 202565428, 'impression', '8', 240963077L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.278365187287015, False, 'best']
['fcwaters', 202565428, 'impression', '10', 240964629L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.221228509712675, False, 'best']
['fcwaters', 202565428, 'impression', '16', 240963794L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.0144623109529101, False, 'best']
['fcwaters', 202565428, 'impression', '4', 240962937L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.334718804995634, False, 'best']
['fcwaters', 202565428, 'impression', '12', 240962530L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.137107380772146, False, 'best']
['fcwaters', 202565428, 'impression', '2', 240965060L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.590418994787517, False, 'best']
['fcwaters', 202565428, 'impression', '14', 240962980L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.0907038239951032, False, 'best']
['fcwaters', 202565428, 'impression', '6', 240964698L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.317962808687826, False, 'best']
['fcwaters', 202565428, 'impression', '13', 240964850L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.0994331241950879, False, 'best']
['fcwaters', 202565428, 'impression', '9', 240964260L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.261131456866661, False, 'best']
['fcwaters', 202565428, 'impression', '5', 240963096L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.33062260811329, False, 'best']
['fcwaters', 202565428, 'impression', '17', 240963192L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.0, False, 'best']
['fcwaters', 202565428, 'impression', '3', 240963030L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.335891156235062, False, 'best']
['fcwaters', 202565428, 'impression', '11', 240964082L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.18111398492504, False, 'best']
['fcwaters', 202565428, 'impression', '15', 240962569L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.0804129088219444, False, 'best']
['fcwaters', 202565428, 'impression', '1', 240962501L, datetime.datetime(2013, 5, 21, 22, 25, 41), 0.741092578133761, False, 'best']
['fcwaters', 202565428, 'view_full_application_via_name', '7', 240962651L, datetime.datetime(2013, 5, 21, 22, 25, 55), 0.299431496199009, False, 'best']
['fcwaters', 202565428, 'impression', '4', 240962937L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.334718804995634, False, 'best']
['fcwaters', 202565428, 'impression', '16', 240963794L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.0144623109529101, False, 'best']
['fcwaters', 202565428, 'impression', '3', 240963030L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.335891156235062, False, 'best']
['fcwaters', 202565428, 'impression', '11', 240964082L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.18111398492504, False, 'best']
['fcwaters', 202565428, 'impression', '15', 240962569L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.0804129088219444, False, 'best']
['fcwaters', 202565428, 'impression', '10', 240964629L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.221228509712675, False, 'best']
['fcwaters', 202565428, 'impression', '7', 240962651L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.299431496199009, False, 'best']
['fcwaters', 202565428, 'impression', '8', 240963077L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.278365187287015, False, 'best']
['fcwaters', 202565428, 'impression', '14', 240962980L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.0907038239951032, False, 'best']
['fcwaters', 202565428, 'impression', '12', 240962530L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.137107380772146, False, 'best']
['fcwaters', 202565428, 'impression', '2', 240965060L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.590418994787517, False, 'best']
['fcwaters', 202565428, 'impression', '1', 240962501L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.741092578133761, False, 'best']
['fcwaters', 202565428, 'impression', '6', 240964698L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.317962808687826, False, 'best']
['fcwaters', 202565428, 'impression', '17', 240963192L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.0, False, 'best']
['fcwaters', 202565428, 'impression', '13', 240964850L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.0994331241950879, False, 'best']
['fcwaters', 202565428, 'impression', '5', 240963096L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.33062260811329, False, 'best']
['fcwaters', 202565428, 'impression', '9', 240964260L, datetime.datetime(2013, 5, 21, 22, 26, 9), 0.261131456866661, False, 'best']
['fcwaters', 202565428, 'view_full_application_via_name', '12', 240962530L, datetime.datetime(2013, 5, 21, 22, 26, 19), 0.137107380772146, False, 'best']
['fcwaters', 202565428, 'impression', '10', 240964629L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.221228509712675, False, 'best']
['fcwaters', 202565428, 'impression', '1', 240962501L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.741092578133761, False, 'best']
['fcwaters', 202565428, 'impression', '4', 240962937L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.334718804995634, False, 'best']
['fcwaters', 202565428, 'impression', '16', 240963794L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.0144623109529101, False, 'best']
['fcwaters', 202565428, 'impression', '5', 240963096L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.33062260811329, False, 'best']
['fcwaters', 202565428, 'impression', '17', 240963192L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.0, False, 'best']
['fcwaters', 202565428, 'impression', '13', 240964850L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.0994331241950879, False, 'best']
['fcwaters', 202565428, 'impression', '6', 240964698L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.317962808687826, False, 'best']
['fcwaters', 202565428, 'impression', '9', 240964260L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.261131456866661, False, 'best']
['fcwaters', 202565428, 'impression', '15', 240962569L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.0804129088219444, False, 'best']
['fcwaters', 202565428, 'impression', '11', 240964082L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.18111398492504, False, 'best']
['fcwaters', 202565428, 'impression', '3', 240963030L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.335891156235062, False, 'best']
['fcwaters', 202565428, 'impression', '14', 240962980L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.0907038239951032, False, 'best']
['fcwaters', 202565428, 'impression', '12', 240962530L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.137107380772146, False, 'best']
['fcwaters', 202565428, 'impression', '2', 240965060L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.590418994787517, False, 'best']
['fcwaters', 202565428, 'impression', '7', 240962651L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.299431496199009, False, 'best']
['fcwaters', 202565428, 'impression', '8', 240963077L, datetime.datetime(2013, 5, 21, 22, 26, 37), 0.278365187287015, False, 'best']
['fcwaters', 202565428, 'impression', '4', 240963030L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.335891156235062, False, 'best']
['fcwaters', 202565428, 'impression', '12', 240964082L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.18111398492504, False, 'best']
['fcwaters', 202565428, 'impression', '16', 240962569L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.0804129088219444, False, 'best']
['fcwaters', 202565428, 'impression', '3', 240965060L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.590418994787517, False, 'best']
['fcwaters', 202565428, 'impression', '13', 240962530L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.137107380772146, False, 'best']
['fcwaters', 202565428, 'impression', '15', 240962980L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.0907038239951032, False, 'best']
['fcwaters', 202565428, 'impression', '14', 240964850L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.0994331241950879, False, 'best']
