['dimonier', 202567246, 'impression', '5', 241017125L, datetime.datetime(2013, 5, 23, 15, 54, 37), 0.0358876276456999, False, 'time']
['dimonier', 202567246, 'impression', '1', 241109594L, datetime.datetime(2013, 5, 23, 15, 54, 37), 0.205487970665106, False, 'time']
['dimonier', 202567246, 'impression', '13', 240996287L, datetime.datetime(2013, 5, 23, 15, 54, 37), 0.00212330850615434, False, 'time']
['dimonier', 202567246, 'impression', '6', 241010275L, datetime.datetime(2013, 5, 23, 15, 54, 37), 0.00540695132281655, False, 'time']
['dimonier', 202567246, 'impression', '12', 240996388L, datetime.datetime(2013, 5, 23, 15, 54, 37), 0.00747769791002216, False, 'time']
['dimonier', 202567246, 'impression', '9', 241005330L, datetime.datetime(2013, 5, 23, 15, 54, 37), 0.105489983730046, False, 'time']
['dimonier', 202567246, 'impression', '17', 240995401L, datetime.datetime(2013, 5, 23, 15, 54, 37), 0.00191492719112879, False, 'time']
['dimonier', 202567246, 'impression', '16', 240995577L, datetime.datetime(2013, 5, 23, 15, 54, 37), 0.0053820686591774, False, 'time']
['dimonier', 202567246, 'impression', '3', 241040385L, datetime.datetime(2013, 5, 23, 15, 54, 37), 0.0328710299463042, False, 'time']
['dimonier', 202567246, 'impression', '7', 241006930L, datetime.datetime(2013, 5, 23, 15, 54, 37), 0.0154460420699893, False, 'time']
['dimonier', 202567246, 'impression', '14', 240996008L, datetime.datetime(2013, 5, 23, 15, 54, 37), 0.0077064953558724, False, 'time']
['dimonier', 202567246, 'impression', '18', 240995229L, datetime.datetime(2013, 5, 23, 15, 54, 37), 0.0145330353315065, False, 'time']
['dimonier', 202567246, 'impression', '8', 241006401L, datetime.datetime(2013, 5, 23, 15, 54, 37), 0.0296270701984271, False, 'time']
['dimonier', 202567246, 'impression', '3', 241040385L, datetime.datetime(2013, 5, 23, 15, 54, 41), 0.0328710299463042, False, 'time']
['dimonier', 202567246, 'impression', '3', 241040385L, datetime.datetime(2013, 5, 23, 15, 54, 48), 0.0328710299463042, False, 'time']
['dimonier', 202567246, 'shortlist', '3', 241040385L, datetime.datetime(2013, 5, 23, 15, 54, 49), 0.0328710299463042, False, 'time']
['dimonier', 202567246, 'expand_tile', '1', 241109594L, datetime.datetime(2013, 5, 23, 15, 54, 51), 0.205487970665106, False, 'time']
['dimonier', 202567246, 'view_full_application', '1', 241109594L, datetime.datetime(2013, 5, 23, 15, 54, 56), 0.205487970665106, False, 'time']
['dimonier', 202567246, 'impression', '8', 241006401L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.0296270701984271, False, 'time']
['dimonier', 202567246, 'impression', '18', 240995229L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.0145330353315065, False, 'time']
['dimonier', 202567246, 'impression', '14', 240996008L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.0077064953558724, False, 'time']
['dimonier', 202567246, 'impression', '6', 241010275L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.00540695132281655, False, 'time']
['dimonier', 202567246, 'impression', '12', 240996388L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.00747769791002216, False, 'time']
['dimonier', 202567246, 'impression', '10', 241000117L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.00844354129163153, False, 'time']
['dimonier', 202567246, 'impression', '2', 241071507L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.00497402621713596, False, 'time']
['dimonier', 202567246, 'impression', '19', 240995166L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.00917847619166403, False, 'time']
['dimonier', 202567246, 'impression', '9', 241005330L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.105489983730046, False, 'time']
['dimonier', 202567246, 'impression', '7', 241006930L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.0154460420699893, False, 'time']
['dimonier', 202567246, 'impression', '16', 240995577L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.0053820686591774, False, 'time']
['dimonier', 202567246, 'impression', '17', 240995401L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.00191492719112879, False, 'time']
['dimonier', 202567246, 'impression', '3', 241040385L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.0328710299463042, False, 'time']
['dimonier', 202567246, 'impression', '4', 241028628L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.125838706551899, False, 'time']
['dimonier', 202567246, 'impression', '13', 240996287L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.00212330850615434, False, 'time']
['dimonier', 202567246, 'impression', '11', 240996570L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.0448854531681272, False, 'time']
['dimonier', 202567246, 'impression', '15', 240995801L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.00247791705279327, False, 'time']
['dimonier', 202567246, 'impression', '1', 241109594L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.205487970665106, False, 'time']
['dimonier', 202567246, 'impression', '5', 241017125L, datetime.datetime(2013, 5, 23, 15, 55, 32), 0.0358876276456999, False, 'time']
['dimonier', 202567246, 'expand_tile', '1', 241109594L, datetime.datetime(2013, 5, 23, 15, 55, 38), 0.205487970665106, False, 'time']
['dimonier', 202567246, 'collapse_tile', '1', 241109594L, datetime.datetime(2013, 5, 23, 15, 55, 44), 0.205487970665106, False, 'time']
['dimonier', 202567246, 'expand_tile', '3', 241040385L, datetime.datetime(2013, 5, 23, 15, 55, 51), 0.0328710299463042, False, 'time']
['dimonier', 202567246, 'view_full_application', '3', 241040385L, datetime.datetime(2013, 5, 23, 15, 55, 59), 0.0328710299463042, False, 'time']
['dimonier', 202567246, 'impression', '9', 241005330L, datetime.datetime(2013, 5, 23, 15, 56, 29), 0.105489983730046, False, 'time']
['dimonier', 202567246, 'impression', '7', 241006930L, datetime.datetime(2013, 5, 23, 15, 56, 29), 0.0154460420699893, False, 'time']
['dimonier', 202567246, 'impression', '16', 240995577L, datetime.datetime(2013, 5, 23, 15, 56, 29), 0.0053820686591774, False, 'time']
['dimonier', 202567246, 'impression', '3', 241040385L, datetime.datetime(2013, 5, 23, 15, 56, 29), 0.0328710299463042, False, 'time']
['dimonier', 202567246, 'impression', '17', 240995401L, datetime.datetime(2013, 5, 23, 15, 56, 29), 0.00191492719112879, False, 'time']
