['techworkers', 202580559, 'impression', '2', 241363564L, datetime.datetime(2013, 5, 27, 12, 56, 53), 0.365798683091564, False, 'best']
['techworkers', 202580559, 'impression', '14', 241390471L, datetime.datetime(2013, 5, 27, 12, 56, 53), 0.0801556298196389, False, 'best']
['techworkers', 202580559, 'impression', '3', 241274259L, datetime.datetime(2013, 5, 27, 12, 56, 53), 0.3426086631154, False, 'best']
['techworkers', 202580559, 'impression', '5', 241322736L, datetime.datetime(2013, 5, 27, 12, 56, 53), 0.255095233093531, False, 'best']
['techworkers', 202580559, 'impression', '7', 241277732L, datetime.datetime(2013, 5, 27, 12, 56, 53), 0.216001040384634, False, 'best']
['techworkers', 202580559, 'impression', '11', 241279445L, datetime.datetime(2013, 5, 27, 12, 56, 53), 0.113240481876162, False, 'best']
['techworkers', 202580559, 'impression', '4', 241274753L, datetime.datetime(2013, 5, 27, 12, 56, 53), 0.270947238546293, False, 'best']
['techworkers', 202580559, 'impression', '12', 241274478L, datetime.datetime(2013, 5, 27, 12, 56, 53), 0.11222101322414, False, 'best']
['techworkers', 202580559, 'impression', '1', 241272368L, datetime.datetime(2013, 5, 27, 12, 56, 53), 0.400271497230101, False, 'best']
['techworkers', 202580559, 'impression', '9', 241272827L, datetime.datetime(2013, 5, 27, 12, 56, 53), 0.185055375715811, False, 'best']
['techworkers', 202580559, 'impression', '15', 241272453L, datetime.datetime(2013, 5, 27, 12, 56, 53), 0.0436611784277532, False, 'best']
['techworkers', 202580559, 'impression', '13', 241275324L, datetime.datetime(2013, 5, 27, 12, 56, 53), 0.0863228809328099, False, 'best']

['techworkers', 202580559, 'impression', '13', 241411537L, datetime.datetime(2013, 5, 28, 6, 31, 5), 0.111084629262364, False, 'best']
['techworkers', 202580559, 'impression', '12', 241274478L, datetime.datetime(2013, 5, 28, 6, 31, 5), 0.11222101322414, False, 'best']
['techworkers', 202580559, 'impression', '4', 241274753L, datetime.datetime(2013, 5, 28, 6, 31, 5), 0.270947238546293, False, 'best']
['techworkers', 202580559, 'impression', '11', 241279445L, datetime.datetime(2013, 5, 28, 6, 31, 5), 0.113240481876162, False, 'best']
['techworkers', 202580559, 'impression', '8', 241278049L, datetime.datetime(2013, 5, 28, 6, 31, 5), 0.214846160469769, False, 'best']
['techworkers', 202580559, 'impression', '10', 241272286L, datetime.datetime(2013, 5, 28, 6, 31, 5), 0.170411944984947, False, 'best']
['techworkers', 202580559, 'impression', '6', 241272596L, datetime.datetime(2013, 5, 28, 6, 31, 5), 0.222254024152844, False, 'best']
['techworkers', 202580559, 'impression', '2', 241363564L, datetime.datetime(2013, 5, 28, 6, 31, 5), 0.365798683091564, False, 'best']
['techworkers', 202580559, 'impression', '7', 241277732L, datetime.datetime(2013, 5, 28, 6, 31, 5), 0.216001040384634, False, 'best']
['techworkers', 202580559, 'impression', '5', 241322736L, datetime.datetime(2013, 5, 28, 6, 31, 5), 0.255095233093531, False, 'best']
['techworkers', 202580559, 'impression', '15', 241390471L, datetime.datetime(2013, 5, 28, 6, 31, 5), 0.0801556298196389, False, 'best']
['techworkers', 202580559, 'impression', '3', 241274259L, datetime.datetime(2013, 5, 28, 6, 31, 5), 0.3426086631154, False, 'best']
['techworkers', 202580559, 'impression', '16', 241272453L, datetime.datetime(2013, 5, 28, 6, 31, 5), 0.0436611784277532, False, 'best']
['techworkers', 202580559, 'impression', '14', 241275324L, datetime.datetime(2013, 5, 28, 6, 31, 5), 0.0863228809328099, False, 'best']
['techworkers', 202580559, 'impression', '1', 241272368L, datetime.datetime(2013, 5, 28, 6, 31, 5), 0.400271497230101, False, 'best']
['techworkers', 202580559, 'impression', '9', 241272827L, datetime.datetime(2013, 5, 28, 6, 31, 5), 0.185055375715811, False, 'best']

