['rkvmogul', 202574281, 'impression', '6', 241136237L, datetime.datetime(2013, 5, 23, 19, 33, 38), 0.042837448570352, False, 'time']
['rkvmogul', 202574281, 'impression', '3', 241137068L, datetime.datetime(2013, 5, 23, 19, 33, 38), 0.0442948840993382, False, 'time']
['rkvmogul', 202574281, 'impression', '7', 241136007L, datetime.datetime(2013, 5, 23, 19, 33, 38), 0.0548940228886379, False, 'time']
['rkvmogul', 202574281, 'impression', '4', 241136734L, datetime.datetime(2013, 5, 23, 19, 33, 38), 0.0157432362057004, False, 'time']
['rkvmogul', 202574281, 'impression', '8', 241135981L, datetime.datetime(2013, 5, 23, 19, 33, 38), 0.0364454603777954, False, 'time']
['rkvmogul', 202574281, 'expand_tile', '1', 241137735L, datetime.datetime(2013, 5, 23, 19, 34, 22), 0.0611194856193144, False, 'time']
['rkvmogul', 202574281, 'send_message', '1', 241137735L, datetime.datetime(2013, 5, 23, 19, 34, 29), 0.0611194856193144, False, 'time']
['rkvmogul', 202574281, 'expand_tile', '1', 241137735L, datetime.datetime(2013, 5, 23, 19, 34, 32), 0.0611194856193144, False, 'time']
['rkvmogul', 202574281, 'impression', '7', 241136007L, datetime.datetime(2013, 5, 23, 19, 42, 46), 0.0548940228886379, False, 'time']
['rkvmogul', 202574281, 'impression', '3', 241137068L, datetime.datetime(2013, 5, 23, 19, 42, 46), 0.0442948840993382, False, 'time']
['rkvmogul', 202574281, 'impression', '6', 241136237L, datetime.datetime(2013, 5, 23, 19, 42, 46), 0.042837448570352, False, 'time']
['rkvmogul', 202574281, 'impression', '2', 241137174L, datetime.datetime(2013, 5, 23, 19, 42, 46), 0.0170784770335651, False, 'time']
['rkvmogul', 202574281, 'impression', '5', 241136265L, datetime.datetime(2013, 5, 23, 19, 42, 46), 0.215948171247626, False, 'time']
['rkvmogul', 202574281, 'impression', '1', 241137735L, datetime.datetime(2013, 5, 23, 19, 42, 46), 0.0611194856193144, False, 'time']
['rkvmogul', 202574281, 'impression', '8', 241135981L, datetime.datetime(2013, 5, 23, 19, 42, 46), 0.0364454603777954, False, 'time']
['rkvmogul', 202574281, 'impression', '4', 241136734L, datetime.datetime(2013, 5, 23, 19, 42, 46), 0.0157432362057004, False, 'time']
['rkvmogul', 202574281, 'impression', '7', 241136007L, datetime.datetime(2013, 5, 23, 19, 48, 47), 0.0548940228886379, False, 'time']
['rkvmogul', 202574281, 'impression', '3', 241137068L, datetime.datetime(2013, 5, 23, 19, 48, 47), 0.0442948840993382, False, 'time']
['rkvmogul', 202574281, 'impression', '6', 241136237L, datetime.datetime(2013, 5, 23, 19, 48, 47), 0.042837448570352, False, 'time']
['rkvmogul', 202574281, 'impression', '5', 241136265L, datetime.datetime(2013, 5, 23, 19, 48, 47), 0.215948171247626, False, 'time']
['rkvmogul', 202574281, 'impression', '1', 241137735L, datetime.datetime(2013, 5, 23, 19, 48, 47), 0.0611194856193144, False, 'time']
['rkvmogul', 202574281, 'impression', '4', 241136734L, datetime.datetime(2013, 5, 23, 19, 48, 47), 0.0157432362057004, False, 'time']
