['alina-max', 202563403, 'impression', '2', 240946931L, datetime.datetime(2013, 5, 22, 4, 58, 14), 0.0797247581591918, False, 'best']
['alina-max', 202563403, 'impression', '5', 240928339L, datetime.datetime(2013, 5, 22, 4, 58, 14), 0.0528109835302451, False, 'best']
['alina-max', 202563403, 'impression', '7', 240939398L, datetime.datetime(2013, 5, 22, 4, 58, 14), 0.0401402806350906, False, 'best']
['alina-max', 202563403, 'impression', '11', 240925892L, datetime.datetime(2013, 5, 22, 4, 58, 14), 0.0335527790201326, False, 'best']
['alina-max', 202563403, 'impression', '17', 240930374L, datetime.datetime(2013, 5, 22, 4, 58, 14), 0.0242114084402337, False, 'best']
['alina-max', 202563403, 'impression', '9', 240926763L, datetime.datetime(2013, 5, 22, 4, 58, 14), 0.0360166159589132, False, 'best']
['alina-max', 202563403, 'impression', '20', 240928417L, datetime.datetime(2013, 5, 22, 4, 58, 14), 0.0121714386520778, False, 'best']
['alina-max', 202563403, 'impression', '14', 240959421L, datetime.datetime(2013, 5, 22, 4, 58, 14), 0.029466502302398, False, 'best']
['alina-max', 202563403, 'impression', '6', 240954707L, datetime.datetime(2013, 5, 22, 4, 58, 14), 0.0475477046850909, False, 'best']
['alina-max', 202563403, 'impression', '10', 240931646L, datetime.datetime(2013, 5, 22, 4, 58, 14), 0.0353569301386349, False, 'best']
['alina-max', 202563403, 'impression', '12', 240930509L, datetime.datetime(2013, 5, 22, 4, 58, 14), 0.0319635231932027, False, 'best']
['alina-max', 202563403, 'impression', '15', 240925699L, datetime.datetime(2013, 5, 22, 4, 58, 14), 0.0263789819200059, False, 'best']
['alina-max', 202563403, 'impression', '3', 240928967L, datetime.datetime(2013, 5, 22, 4, 58, 14), 0.0779601138682718, False, 'best']
['alina-max', 202563403, 'impression', '8', 240927763L, datetime.datetime(2013, 5, 22, 4, 58, 14), 0.0371132353788256, False, 'best']
['alina-max', 202563403, 'view_full_application_via_name', '1', 240930432L, datetime.datetime(2013, 5, 22, 4, 58, 22), 0.101772782368812, True, 'best']
['alina-max', 202563403, 'impression', '11', 240925892L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0335527790201326, False, 'best']
['alina-max', 202563403, 'impression', '17', 240930374L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0242114084402337, False, 'best']
['alina-max', 202563403, 'impression', '2', 240946931L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0797247581591918, False, 'best']
['alina-max', 202563403, 'impression', '5', 240928339L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0528109835302451, False, 'best']
['alina-max', 202563403, 'impression', '19', 240928817L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0214545769177107, False, 'best']
['alina-max', 202563403, 'impression', '7', 240939398L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0401402806350906, False, 'best']
['alina-max', 202563403, 'impression', '14', 240959421L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.029466502302398, False, 'best']
['alina-max', 202563403, 'impression', '6', 240954707L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0475477046850909, False, 'best']
['alina-max', 202563403, 'impression', '16', 240928399L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0259676963570193, False, 'best']
['alina-max', 202563403, 'impression', '18', 240926917L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0228401316665187, False, 'best']
['alina-max', 202563403, 'impression', '1', 240930432L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.101772782368812, True, 'best']
['alina-max', 202563403, 'impression', '13', 240930396L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0317471507951563, False, 'best']
['alina-max', 202563403, 'impression', '4', 240927539L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0749231227313375, False, 'best']
['alina-max', 202563403, 'impression', '9', 240926763L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0360166159589132, False, 'best']
['alina-max', 202563403, 'impression', '20', 240928417L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0121714386520778, False, 'best']
['alina-max', 202563403, 'impression', '3', 240928967L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0779601138682718, False, 'best']
['alina-max', 202563403, 'impression', '8', 240927763L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0371132353788256, False, 'best']
['alina-max', 202563403, 'impression', '12', 240930509L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0319635231932027, False, 'best']
['alina-max', 202563403, 'impression', '15', 240925699L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0263789819200059, False, 'best']
['alina-max', 202563403, 'impression', '10', 240931646L, datetime.datetime(2013, 5, 22, 4, 59, 5), 0.0353569301386349, False, 'best']

['alina-max', 202563403, 'impression', '10', 240930396L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.0317471507951563, False, 'best']
['alina-max', 202563403, 'impression', '11', 240959421L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.029466502302398, False, 'best']
['alina-max', 202563403, 'impression', '4', 240954707L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.0475477046850909, False, 'best']
['alina-max', 202563403, 'impression', '2', 240928967L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.0779601138682718, False, 'best']
['alina-max', 202563403, 'impression', '9', 240930509L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.0319635231932027, False, 'best']
['alina-max', 202563403, 'impression', '12', 240925699L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.0263789819200059, False, 'best']
['alina-max', 202563403, 'impression', '6', 240927763L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.0371132353788256, False, 'best']
['alina-max', 202563403, 'impression', '7', 240931646L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.0353569301386349, False, 'best']
['alina-max', 202563403, 'impression', '17', 240928417L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.0121714386520778, False, 'best']
['alina-max', 202563403, 'impression', '16', 240928817L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.0214545769177107, False, 'best']
['alina-max', 202563403, 'impression', '5', 240939398L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.0401402806350906, False, 'best']
['alina-max', 202563403, 'impression', '1', 240946931L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.0797247581591918, False, 'best']
['alina-max', 202563403, 'impression', '3', 240928339L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.0528109835302451, False, 'best']
['alina-max', 202563403, 'impression', '8', 240925892L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.0335527790201326, False, 'best']
['alina-max', 202563403, 'impression', '14', 240930374L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.0242114084402337, False, 'best']
['alina-max', 202563403, 'impression', '13', 240928399L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.0259676963570193, False, 'best']
['alina-max', 202563403, 'impression', '15', 240926917L, datetime.datetime(2013, 5, 23, 10, 27, 37), 0.0228401316665187, False, 'best']

