['ineedawebsite199', 202537764, 'impression', '1', 240393248L, datetime.datetime(2013, 5, 14, 22, 10, 46), 0.0718201031605759, False, 'best']
['ineedawebsite199', 202537764, 'impression', '2', 240393113L, datetime.datetime(2013, 5, 14, 22, 10, 46), 0.066766906826556, False, 'best']
['ineedawebsite199', 202537764, 'impression', '8', 240388753L, datetime.datetime(2013, 5, 14, 22, 10, 46), 0.00996120049780156, False, 'best']
['ineedawebsite199', 202537764, 'impression', '3', 240393054L, datetime.datetime(2013, 5, 14, 22, 10, 46), 0.0486794753140426, False, 'best']
['ineedawebsite199', 202537764, 'impression', '5', 240393168L, datetime.datetime(2013, 5, 14, 22, 10, 46), 0.0363205890741475, False, 'best']
['ineedawebsite199', 202537764, 'impression', '6', 240392238L, datetime.datetime(2013, 5, 14, 22, 10, 46), 0.0301820611407752, False, 'best']
['ineedawebsite199', 202537764, 'impression', '4', 240393211L, datetime.datetime(2013, 5, 14, 22, 10, 46), 0.0421790932074869, False, 'best']
['ineedawebsite199', 202537764, 'impression', '6', 240392238L, datetime.datetime(2013, 5, 14, 22, 13, 7), 0.0301820611407752, False, 'best']
['ineedawebsite199', 202537764, 'impression', '2', 240393113L, datetime.datetime(2013, 5, 14, 22, 13, 7), 0.066766906826556, False, 'best']
['ineedawebsite199', 202537764, 'impression', '1', 240393248L, datetime.datetime(2013, 5, 14, 22, 13, 7), 0.0718201031605759, False, 'best']
['ineedawebsite199', 202537764, 'impression', '9', 240387835L, datetime.datetime(2013, 5, 14, 22, 13, 7), 0.0, False, 'best']
['ineedawebsite199', 202537764, 'impression', '7', 240389835L, datetime.datetime(2013, 5, 14, 22, 13, 7), 0.025469014383421, False, 'best']
['ineedawebsite199', 202537764, 'impression', '8', 240388753L, datetime.datetime(2013, 5, 14, 22, 13, 7), 0.00996120049780156, False, 'best']
['ineedawebsite199', 202537764, 'impression', '3', 240393054L, datetime.datetime(2013, 5, 14, 22, 13, 7), 0.0486794753140426, False, 'best']
['ineedawebsite199', 202537764, 'impression', '5', 240393168L, datetime.datetime(2013, 5, 14, 22, 13, 7), 0.0363205890741475, False, 'best']
['ineedawebsite199', 202537764, 'impression', '4', 240393211L, datetime.datetime(2013, 5, 14, 22, 13, 7), 0.0421790932074869, False, 'best']
['ineedawebsite199', 202537764, 'impression', '9', 240387835L, datetime.datetime(2013, 5, 14, 22, 17, 55), 0.0, False, 'best']
['ineedawebsite199', 202537764, 'impression', '7', 240389835L, datetime.datetime(2013, 5, 14, 22, 17, 55), 0.025469014383421, False, 'best']
['ineedawebsite199', 202537764, 'impression', '2', 240393113L, datetime.datetime(2013, 5, 14, 22, 17, 55), 0.066766906826556, False, 'best']
['ineedawebsite199', 202537764, 'impression', '1', 240393248L, datetime.datetime(2013, 5, 14, 22, 17, 55), 0.0718201031605759, False, 'best']
['ineedawebsite199', 202537764, 'impression', '6', 240392238L, datetime.datetime(2013, 5, 14, 22, 17, 55), 0.0301820611407752, False, 'best']
['ineedawebsite199', 202537764, 'impression', '8', 240388753L, datetime.datetime(2013, 5, 14, 22, 17, 55), 0.00996120049780156, False, 'best']
['ineedawebsite199', 202537764, 'impression', '3', 240393054L, datetime.datetime(2013, 5, 14, 22, 17, 55), 0.0486794753140426, False, 'best']
['ineedawebsite199', 202537764, 'impression', '4', 240393211L, datetime.datetime(2013, 5, 14, 22, 17, 55), 0.0421790932074869, False, 'best']
['ineedawebsite199', 202537764, 'impression', '5', 240393168L, datetime.datetime(2013, 5, 14, 22, 17, 55), 0.0363205890741475, False, 'best']
['ineedawebsite199', 202537764, 'impression', '6', 240392238L, datetime.datetime(2013, 5, 14, 22, 23, 40), 0.0301820611407752, False, 'best']
['ineedawebsite199', 202537764, 'impression', '2', 240393113L, datetime.datetime(2013, 5, 14, 22, 23, 40), 0.066766906826556, False, 'best']
['ineedawebsite199', 202537764, 'impression', '1', 240393248L, datetime.datetime(2013, 5, 14, 22, 23, 40), 0.0718201031605759, False, 'best']
['ineedawebsite199', 202537764, 'impression', '9', 240387835L, datetime.datetime(2013, 5, 14, 22, 23, 40), 0.0, False, 'best']
['ineedawebsite199', 202537764, 'impression', '7', 240389835L, datetime.datetime(2013, 5, 14, 22, 23, 40), 0.025469014383421, False, 'best']
['ineedawebsite199', 202537764, 'impression', '4', 240393211L, datetime.datetime(2013, 5, 14, 22, 23, 40), 0.0421790932074869, False, 'best']
['ineedawebsite199', 202537764, 'impression', '8', 240388753L, datetime.datetime(2013, 5, 14, 22, 23, 40), 0.00996120049780156, False, 'best']
['ineedawebsite199', 202537764, 'impression', '3', 240393054L, datetime.datetime(2013, 5, 14, 22, 23, 40), 0.0486794753140426, False, 'best']
['ineedawebsite199', 202537764, 'impression', '5', 240393168L, datetime.datetime(2013, 5, 14, 22, 23, 40), 0.0363205890741475, False, 'best']
['ineedawebsite199', 202537764, 'impression', '1', 240393248L, datetime.datetime(2013, 5, 14, 22, 24, 7), 0.0718201031605759, False, 'best']
['ineedawebsite199', 202537764, 'impression', '2', 240393113L, datetime.datetime(2013, 5, 14, 22, 24, 7), 0.066766906826556, False, 'best']
['ineedawebsite199', 202537764, 'impression', '6', 240392238L, datetime.datetime(2013, 5, 14, 22, 24, 7), 0.0301820611407752, False, 'best']
['ineedawebsite199', 202537764, 'impression', '9', 240387835L, datetime.datetime(2013, 5, 14, 22, 24, 7), 0.0, False, 'best']
['ineedawebsite199', 202537764, 'impression', '7', 240389835L, datetime.datetime(2013, 5, 14, 22, 24, 7), 0.025469014383421, False, 'best']
['ineedawebsite199', 202537764, 'impression', '4', 240393211L, datetime.datetime(2013, 5, 14, 22, 24, 7), 0.0421790932074869, False, 'best']
['ineedawebsite199', 202537764, 'impression', '5', 240393168L, datetime.datetime(2013, 5, 14, 22, 24, 7), 0.0363205890741475, False, 'best']
['ineedawebsite199', 202537764, 'impression', '3', 240393054L, datetime.datetime(2013, 5, 14, 22, 24, 7), 0.0486794753140426, False, 'best']
['ineedawebsite199', 202537764, 'impression', '8', 240388753L, datetime.datetime(2013, 5, 14, 22, 24, 7), 0.00996120049780156, False, 'best']
['ineedawebsite199', 202537764, 'impression', '5', 240393168L, datetime.datetime(2013, 5, 14, 22, 25, 4), 0.0363205890741475, False, 'best']
['ineedawebsite199', 202537764, 'impression', '3', 240393054L, datetime.datetime(2013, 5, 14, 22, 25, 4), 0.0486794753140426, False, 'best']
['ineedawebsite199', 202537764, 'impression', '8', 240388753L, datetime.datetime(2013, 5, 14, 22, 25, 4), 0.00996120049780156, False, 'best']
['ineedawebsite199', 202537764, 'impression', '6', 240392238L, datetime.datetime(2013, 5, 14, 22, 25, 4), 0.0301820611407752, False, 'best']
['ineedawebsite199', 202537764, 'impression', '2', 240393113L, datetime.datetime(2013, 5, 14, 22, 25, 4), 0.066766906826556, False, 'best']
['ineedawebsite199', 202537764, 'impression', '1', 240393248L, datetime.datetime(2013, 5, 14, 22, 25, 4), 0.0718201031605759, False, 'best']
['ineedawebsite199', 202537764, 'impression', '4', 240393211L, datetime.datetime(2013, 5, 14, 22, 25, 4), 0.0421790932074869, False, 'best']
['ineedawebsite199', 202537764, 'impression', '9', 240387835L, datetime.datetime(2013, 5, 14, 22, 25, 4), 0.0, False, 'best']
['ineedawebsite199', 202537764, 'impression', '7', 240389835L, datetime.datetime(2013, 5, 14, 22, 25, 4), 0.025469014383421, False, 'best']
['ineedawebsite199', 202537764, 'impression', '7', 240389835L, datetime.datetime(2013, 5, 14, 22, 25, 18), 0.025469014383421, False, 'best']
