['cngpe', 202575018, 'impression', '3', 241185975L, datetime.datetime(2013, 5, 28, 19, 46, 33), 0.000532426016735497, False, 'time']
['cngpe', 202575018, 'impression', '8', 241170970L, datetime.datetime(2013, 5, 28, 19, 57, 57), 0.00761288398765873, False, 'time']
['cngpe', 202575018, 'impression', '9', 241167540L, datetime.datetime(2013, 5, 28, 19, 57, 57), 0.00155527366586344, False, 'time']
['cngpe', 202575018, 'impression', '2', 241208009L, datetime.datetime(2013, 5, 28, 19, 57, 57), 0.00148260437186171, False, 'time']
['cngpe', 202575018, 'impression', '3', 241185975L, datetime.datetime(2013, 5, 28, 19, 57, 57), 0.000532426016735497, False, 'time']
['cngpe', 202575018, 'impression', '6', 241177112L, datetime.datetime(2013, 5, 28, 19, 57, 57), 0.00121725766410454, False, 'time']
['cngpe', 202575018, 'impression', '5', 241184715L, datetime.datetime(2013, 5, 28, 19, 57, 57), 0.00323237319128885, False, 'time']
['cngpe', 202575018, 'impression', '10', 241167284L, datetime.datetime(2013, 5, 28, 19, 57, 57), 0.00273053724486868, False, 'time']
['cngpe', 202575018, 'impression', '7', 241174024L, datetime.datetime(2013, 5, 28, 19, 57, 57), 0.000984810411609594, False, 'time']
['cngpe', 202575018, 'impression', '1', 241209462L, datetime.datetime(2013, 5, 28, 19, 57, 57), 0.00241348965477206, False, 'time']
['cngpe', 202575018, 'impression', '4', 241185000L, datetime.datetime(2013, 5, 28, 19, 57, 57), 0.00374459672575496, False, 'time']
['cngpe', 202575018, 'impression', '11', 241152452L, datetime.datetime(2013, 5, 28, 19, 57, 57), 0.00179978391158355, False, 'time']
['cngpe', 202575018, 'impression', '1', 241209462L, datetime.datetime(2013, 5, 28, 19, 57, 59), 0.00241348965477206, False, 'time']
['cngpe', 202575018, 'expand_tile', '1', 241209462L, datetime.datetime(2013, 5, 28, 19, 58, 1), 0.00241348965477206, False, 'time']
['cngpe', 202575018, 'send_message', '1', 241209462L, datetime.datetime(2013, 5, 28, 19, 58, 2), 0.00241348965477206, False, 'time']
['cngpe', 202575018, 'view_full_application_via_name', '1', 241209462L, datetime.datetime(2013, 5, 28, 19, 58, 22), 0.00241348965477206, False, 'time']
['cngpe', 202575018, 'impression', '6', 241177112L, datetime.datetime(2013, 5, 28, 19, 58, 40), 0.00121725766410454, False, 'time']
['cngpe', 202575018, 'impression', '5', 241184715L, datetime.datetime(2013, 5, 28, 19, 58, 40), 0.00323237319128885, False, 'time']
['cngpe', 202575018, 'impression', '10', 241167284L, datetime.datetime(2013, 5, 28, 19, 58, 40), 0.00273053724486868, False, 'time']
['cngpe', 202575018, 'impression', '1', 241209462L, datetime.datetime(2013, 5, 28, 19, 58, 40), 0.00241348965477206, False, 'time']
['cngpe', 202575018, 'impression', '7', 241174024L, datetime.datetime(2013, 5, 28, 19, 58, 40), 0.000984810411609594, False, 'time']
['cngpe', 202575018, 'impression', '2', 241208009L, datetime.datetime(2013, 5, 28, 19, 58, 40), 0.00148260437186171, False, 'time']
['cngpe', 202575018, 'impression', '8', 241170970L, datetime.datetime(2013, 5, 28, 19, 58, 40), 0.00761288398765873, False, 'time']
['cngpe', 202575018, 'impression', '9', 241167540L, datetime.datetime(2013, 5, 28, 19, 58, 40), 0.00155527366586344, False, 'time']
['cngpe', 202575018, 'impression', '3', 241185975L, datetime.datetime(2013, 5, 28, 19, 58, 40), 0.000532426016735497, False, 'time']
['cngpe', 202575018, 'impression', '4', 241185000L, datetime.datetime(2013, 5, 28, 19, 58, 40), 0.00374459672575496, False, 'time']
['cngpe', 202575018, 'impression', '11', 241152452L, datetime.datetime(2013, 5, 28, 19, 58, 40), 0.00179978391158355, False, 'time']
['cngpe', 202575018, 'expand_tile', '1', 241209462L, datetime.datetime(2013, 5, 28, 19, 58, 42), 0.00241348965477206, False, 'time']
['cngpe', 202575018, 'send_message', '1', 241209462L, datetime.datetime(2013, 5, 28, 19, 58, 44), 0.00241348965477206, False, 'time']
['cngpe', 202575018, 'impression', '10', 241167284L, datetime.datetime(2013, 5, 28, 20, 22, 37), 0.00273053724486868, False, 'time']
['cngpe', 202575018, 'impression', '1', 241209462L, datetime.datetime(2013, 5, 28, 20, 22, 37), 0.00241348965477206, False, 'time']
['cngpe', 202575018, 'impression', '7', 241174024L, datetime.datetime(2013, 5, 28, 20, 22, 37), 0.000984810411609594, False, 'time']
['cngpe', 202575018, 'impression', '5', 241184715L, datetime.datetime(2013, 5, 28, 20, 22, 37), 0.00323237319128885, False, 'time']
['cngpe', 202575018, 'impression', '2', 241208009L, datetime.datetime(2013, 5, 28, 20, 22, 37), 0.00148260437186171, False, 'time']
['cngpe', 202575018, 'impression', '2', 241208009L, datetime.datetime(2013, 5, 28, 20, 22, 37), 0.00148260437186171, False, 'time']
['cngpe', 202575018, 'impression', '8', 241170970L, datetime.datetime(2013, 5, 28, 20, 22, 37), 0.00761288398765873, False, 'time']
['cngpe', 202575018, 'impression', '9', 241167540L, datetime.datetime(2013, 5, 28, 20, 22, 37), 0.00155527366586344, False, 'time']
['cngpe', 202575018, 'impression', '3', 241185975L, datetime.datetime(2013, 5, 28, 20, 22, 37), 0.000532426016735497, False, 'time']
['cngpe', 202575018, 'impression', '4', 241185000L, datetime.datetime(2013, 5, 28, 20, 22, 37), 0.00374459672575496, False, 'time']
['cngpe', 202575018, 'impression', '11', 241152452L, datetime.datetime(2013, 5, 28, 20, 22, 37), 0.00179978391158355, False, 'time']
['cngpe', 202575018, 'impression', '6', 241177112L, datetime.datetime(2013, 5, 28, 20, 22, 37), 0.00121725766410454, False, 'time']
['cngpe', 202575018, 'expand_tile', '1', 241209462L, datetime.datetime(2013, 5, 28, 20, 22, 39), 0.00241348965477206, False, 'time']
['cngpe', 202575018, 'send_message', '1', 241209462L, datetime.datetime(2013, 5, 28, 20, 22, 40), 0.00241348965477206, False, 'time']
['cngpe', 202575018, 'expand_tile', '1', 241209462L, datetime.datetime(2013, 5, 28, 20, 23, 31), 0.00241348965477206, False, 'time']

['cngpe', 202575018, 'impression', '5', 241184715L, datetime.datetime(2013, 5, 29, 20, 2, 48), 0.00323237319128885, False, 'time']
['cngpe', 202575018, 'impression', '10', 241167284L, datetime.datetime(2013, 5, 29, 20, 2, 48), 0.00273053724486868, False, 'time']
['cngpe', 202575018, 'impression', '7', 241174024L, datetime.datetime(2013, 5, 29, 20, 2, 48), 0.000984810411609594, False, 'time']
['cngpe', 202575018, 'impression', '1', 241209462L, datetime.datetime(2013, 5, 29, 20, 2, 48), 0.00241348965477206, False, 'time']
['cngpe', 202575018, 'impression', '2', 241208009L, datetime.datetime(2013, 5, 29, 20, 2, 48), 0.00148260437186171, False, 'time']
['cngpe', 202575018, 'impression', '9', 241167540L, datetime.datetime(2013, 5, 29, 20, 2, 48), 0.00155527366586344, False, 'time']
['cngpe', 202575018, 'impression', '8', 241170970L, datetime.datetime(2013, 5, 29, 20, 2, 48), 0.00761288398765873, False, 'time']
['cngpe', 202575018, 'impression', '6', 241177112L, datetime.datetime(2013, 5, 29, 20, 2, 48), 0.00121725766410454, False, 'time']
['cngpe', 202575018, 'impression', '4', 241185000L, datetime.datetime(2013, 5, 29, 20, 2, 48), 0.00374459672575496, False, 'time']
['cngpe', 202575018, 'impression', '11', 241152452L, datetime.datetime(2013, 5, 29, 20, 2, 48), 0.00179978391158355, False, 'time']
['cngpe', 202575018, 'impression', '3', 241185975L, datetime.datetime(2013, 5, 29, 20, 2, 48), 0.000532426016735497, False, 'time']

