['jbposey', 202573426, 'impression', '7', 241117908L, datetime.datetime(2013, 5, 23, 19, 18, 23), 0.0557990564327299, False, 'best']
['jbposey', 202573426, 'impression', '19', 241134487L, datetime.datetime(2013, 5, 23, 19, 18, 23), 0.00266207261274268, False, 'best']
['jbposey', 202573426, 'impression', '1', 241118487L, datetime.datetime(2013, 5, 23, 19, 18, 23), 0.180329843415936, False, 'best']
['jbposey', 202573426, 'impression', '17', 241122910L, datetime.datetime(2013, 5, 23, 19, 18, 23), 0.0137521018482507, False, 'best']
['jbposey', 202573426, 'impression', '8', 241124532L, datetime.datetime(2013, 5, 23, 19, 18, 23), 0.0459977046770653, False, 'best']
['jbposey', 202573426, 'expand_tile', '7', 241117908L, datetime.datetime(2013, 5, 23, 19, 18, 33), 0.0557990564327299, False, 'best']
['jbposey', 202573426, 'view_full_application', '7', 241117908L, datetime.datetime(2013, 5, 23, 19, 18, 35), 0.0557990564327299, False, 'best']
['jbposey', 202573426, 'impression', '15', 241122080L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.0209312124703669, False, 'best']
['jbposey', 202573426, 'impression', '3', 241117413L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.11542635789441, False, 'best']
['jbposey', 202573426, 'impression', '10', 241118550L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.0415335034554502, False, 'best']
['jbposey', 202573426, 'impression', '18', 241117092L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.0120977453215413, False, 'best']
['jbposey', 202573426, 'impression', '19', 241134487L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.00266207261274268, False, 'best']
['jbposey', 202573426, 'impression', '7', 241117908L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.0557990564327299, False, 'best']
['jbposey', 202573426, 'impression', '6', 241120066L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.058187634359716, False, 'best']
['jbposey', 202573426, 'impression', '5', 241134586L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.0700135383622512, False, 'best']
['jbposey', 202573426, 'impression', '2', 241118761L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.119060613735897, False, 'best']
['jbposey', 202573426, 'impression', '17', 241122910L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.0137521018482507, False, 'best']
['jbposey', 202573426, 'impression', '8', 241124532L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.0459977046770653, False, 'best']
['jbposey', 202573426, 'impression', '1', 241118487L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.180329843415936, False, 'best']
['jbposey', 202573426, 'impression', '9', 241119298L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.0444691421181186, False, 'best']
['jbposey', 202573426, 'impression', '14', 241125295L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.0255503555204006, False, 'best']
['jbposey', 202573426, 'impression', '13', 241117912L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.0262251947099193, False, 'best']
['jbposey', 202573426, 'impression', '11', 241132598L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.0387225982460776, False, 'best']
['jbposey', 202573426, 'impression', '16', 241117297L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.0161753330744081, False, 'best']
['jbposey', 202573426, 'impression', '12', 241122078L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.0349700366231252, False, 'best']
['jbposey', 202573426, 'impression', '4', 241119351L, datetime.datetime(2013, 5, 23, 19, 19, 19), 0.0781869334531579, False, 'best']
