['bleenash', 202550921, 'impression', '6', 240713913L, datetime.datetime(2013, 5, 21, 4, 25, 3), 0.0461625879118598, False, 'best']
['bleenash', 202550921, 'impression', '16', 240698482L, datetime.datetime(2013, 5, 21, 4, 25, 3), 0.0204090448372813, False, 'best']
['bleenash', 202550921, 'impression', '5', 240723075L, datetime.datetime(2013, 5, 21, 4, 25, 3), 0.0491470534863425, False, 'best']
['bleenash', 202550921, 'impression', '18', 240653279L, datetime.datetime(2013, 5, 21, 4, 25, 3), 0.0167567723024306, False, 'best']
['bleenash', 202550921, 'impression', '17', 240677820L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.017061645195559, False, 'best']
['bleenash', 202550921, 'impression', '1', 240662713L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0903552802318925, False, 'best']
['bleenash', 202550921, 'impression', '2', 240665352L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0882530809354386, True, 'best']
['bleenash', 202550921, 'impression', '10', 240723844L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.03874429161078, False, 'best']
['bleenash', 202550921, 'impression', '9', 240702078L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0390510995474882, False, 'best']
['bleenash', 202550921, 'impression', '11', 240662429L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0386495776098423, False, 'best']
['bleenash', 202550921, 'impression', '18', 240653279L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0167567723024306, False, 'best']
['bleenash', 202550921, 'impression', '5', 240723075L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0491470534863425, False, 'best']
['bleenash', 202550921, 'impression', '16', 240698482L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0204090448372813, False, 'best']
['bleenash', 202550921, 'impression', '8', 240654986L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0406590344831962, False, 'best']
['bleenash', 202550921, 'impression', '12', 240653404L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.038049078913134, False, 'best']
['bleenash', 202550921, 'impression', '20', 240656536L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0154741781099588, False, 'best']
['bleenash', 202550921, 'impression', '6', 240713913L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0461625879118598, False, 'best']
['bleenash', 202550921, 'impression', '4', 240724720L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0553114024135328, False, 'best']
['bleenash', 202550921, 'impression', '15', 240682416L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0236153243152054, False, 'best']
['bleenash', 202550921, 'impression', '14', 240669931L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0279071587224129, False, 'best']
['bleenash', 202550921, 'impression', '3', 240661563L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0869985068831841, False, 'best']
['bleenash', 202550921, 'impression', '7', 240702896L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0424371453258238, False, 'best']
['bleenash', 202550921, 'impression', '13', 240724759L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0288027330424887, False, 'best']
['bleenash', 202550921, 'impression', '19', 240660949L, datetime.datetime(2013, 5, 21, 4, 25, 47), 0.0159970857065861, False, 'best']
['bleenash', 202550921, 'view_full_application_via_name', '2', 240665352L, datetime.datetime(2013, 5, 21, 4, 25, 49), 0.0882530809354386, True, 'best']

