['doug321', 202569778, 'impression', '2', 241046364L, datetime.datetime(2013, 5, 22, 22, 35, 6), 0.0928553496709072, False, 'best']
['doug321', 202569778, 'impression', '4', 241048749L, datetime.datetime(2013, 5, 22, 22, 35, 6), 0.0419251317440954, False, 'best']
['doug321', 202569778, 'expand_tile', '1', 241049478L, datetime.datetime(2013, 5, 22, 22, 35, 16), 0.0929402813168089, False, 'best']
['doug321', 202569778, 'view_full_application', '1', 241049478L, datetime.datetime(2013, 5, 22, 22, 35, 49), 0.0929402813168089, False, 'best']

['doug321', 202569778, 'impression', '3', 241046336L, datetime.datetime(2013, 5, 23, 6, 31, 18), 0.04892590494946, False, 'best']
['doug321', 202569778, 'impression', '7', 241059134L, datetime.datetime(2013, 5, 23, 6, 31, 18), 0.0290717187953261, False, 'best']
['doug321', 202569778, 'impression', '1', 241049478L, datetime.datetime(2013, 5, 23, 6, 31, 18), 0.0929402813168089, False, 'best']
['doug321', 202569778, 'impression', '4', 241048749L, datetime.datetime(2013, 5, 23, 6, 31, 18), 0.0419251317440954, False, 'best']
['doug321', 202569778, 'impression', '2', 241046364L, datetime.datetime(2013, 5, 23, 6, 31, 18), 0.0928553496709072, False, 'best']
['doug321', 202569778, 'impression', '8', 241046184L, datetime.datetime(2013, 5, 23, 6, 31, 18), 0.016136582434338, False, 'best']
['doug321', 202569778, 'impression', '5', 241048355L, datetime.datetime(2013, 5, 23, 6, 31, 18), 0.0326151404529467, False, 'best']
['doug321', 202569778, 'impression', '6', 241049589L, datetime.datetime(2013, 5, 23, 6, 31, 18), 0.0323291907960632, False, 'best']
['doug321', 202569778, 'impression', '9', 241046688L, datetime.datetime(2013, 5, 23, 6, 31, 18), 0.00820142787401244, False, 'best']
['doug321', 202569778, 'impression', '3', 241046336L, datetime.datetime(2013, 5, 23, 6, 31, 30), 0.04892590494946, False, 'best']
['doug321', 202569778, 'impression', '7', 241059134L, datetime.datetime(2013, 5, 23, 6, 31, 30), 0.0290717187953261, False, 'best']
['doug321', 202569778, 'impression', '1', 241049478L, datetime.datetime(2013, 5, 23, 6, 31, 30), 0.0929402813168089, False, 'best']
['doug321', 202569778, 'impression', '5', 241048355L, datetime.datetime(2013, 5, 23, 6, 31, 30), 0.0326151404529467, False, 'best']
['doug321', 202569778, 'impression', '8', 241046184L, datetime.datetime(2013, 5, 23, 6, 31, 30), 0.016136582434338, False, 'best']
['doug321', 202569778, 'impression', '9', 241046688L, datetime.datetime(2013, 5, 23, 6, 31, 30), 0.00820142787401244, False, 'best']
['doug321', 202569778, 'impression', '6', 241049589L, datetime.datetime(2013, 5, 23, 6, 31, 30), 0.0323291907960632, False, 'best']
['doug321', 202569778, 'impression', '2', 241046364L, datetime.datetime(2013, 5, 23, 6, 31, 30), 0.0928553496709072, False, 'best']
['doug321', 202569778, 'impression', '4', 241048749L, datetime.datetime(2013, 5, 23, 6, 31, 30), 0.0419251317440954, False, 'best']
['doug321', 202569778, 'impression', '5', 241048355L, datetime.datetime(2013, 5, 23, 6, 34, 52), 0.0326151404529467, False, 'best']
['doug321', 202569778, 'impression', '8', 241046184L, datetime.datetime(2013, 5, 23, 6, 34, 52), 0.016136582434338, False, 'best']
['doug321', 202569778, 'impression', '9', 241046688L, datetime.datetime(2013, 5, 23, 6, 34, 52), 0.00820142787401244, False, 'best']
['doug321', 202569778, 'impression', '6', 241049589L, datetime.datetime(2013, 5, 23, 6, 34, 52), 0.0323291907960632, False, 'best']
['doug321', 202569778, 'impression', '1', 241049478L, datetime.datetime(2013, 5, 23, 6, 34, 52), 0.0929402813168089, False, 'best']
['doug321', 202569778, 'impression', '2', 241046364L, datetime.datetime(2013, 5, 23, 6, 34, 52), 0.0928553496709072, False, 'best']
['doug321', 202569778, 'impression', '4', 241048749L, datetime.datetime(2013, 5, 23, 6, 34, 52), 0.0419251317440954, False, 'best']
['doug321', 202569778, 'impression', '3', 241046336L, datetime.datetime(2013, 5, 23, 6, 34, 52), 0.04892590494946, False, 'best']
['doug321', 202569778, 'impression', '7', 241059134L, datetime.datetime(2013, 5, 23, 6, 34, 52), 0.0290717187953261, False, 'best']
