['shoplocket', 202559944, 'impression', '3', 240898713L, datetime.datetime(2013, 5, 21, 13, 33, 26), 0.17048804322621, False, 'best']
['shoplocket', 202559944, 'impression', '8', 240899645L, datetime.datetime(2013, 5, 21, 13, 33, 26), 0.083402635795874, False, 'best']
['shoplocket', 202559944, 'expand_tile', '2', 240920293L, datetime.datetime(2013, 5, 21, 13, 33, 38), 0.183731005272972, False, 'best']
['shoplocket', 202559944, 'shortlist', '2', 240920293L, datetime.datetime(2013, 5, 21, 13, 34, 4), 0.183731005272972, False, 'best']
['shoplocket', 202559944, 'expand_tile', '2', 240920293L, datetime.datetime(2013, 5, 21, 13, 34, 4), 0.183731005272972, False, 'best']
['shoplocket', 202559944, 'impression', '6', 240854689L, datetime.datetime(2013, 5, 21, 13, 34, 8), 0.0987305069771398, True, 'best']
['shoplocket', 202559944, 'shortlist', '6', 240854689L, datetime.datetime(2013, 5, 21, 13, 34, 9), 0.0987305069771398, True, 'best']
['shoplocket', 202559944, 'expand_tile', '7', 240916205L, datetime.datetime(2013, 5, 21, 13, 34, 20), 0.0977446333811894, True, 'best']
['shoplocket', 202559944, 'expand_tile', '8', 240899645L, datetime.datetime(2013, 5, 21, 13, 34, 34), 0.083402635795874, False, 'best']
['shoplocket', 202559944, 'impression', '9', 240870873L, datetime.datetime(2013, 5, 21, 13, 34, 56), 0.0809604265871905, False, 'best']
['shoplocket', 202559944, 'collapse_tile', '8', 240899645L, datetime.datetime(2013, 5, 21, 13, 35, 12), 0.083402635795874, False, 'best']
['shoplocket', 202559944, 'expand_tile', '8', 240899645L, datetime.datetime(2013, 5, 21, 13, 35, 14), 0.083402635795874, False, 'best']
['shoplocket', 202559944, 'expand_tile', '16', 240881653L, datetime.datetime(2013, 5, 21, 13, 35, 36), 0.0536692838921331, False, 'best']
['shoplocket', 202559944, 'collapse_tile', '16', 240881653L, datetime.datetime(2013, 5, 21, 13, 36, 3), 0.0536692838921331, False, 'best']
['shoplocket', 202559944, 'expand_tile', '18', 240855922L, datetime.datetime(2013, 5, 21, 13, 36, 4), 0.0503782312125013, False, 'best']
['shoplocket', 202559944, 'expand_tile', '16', 240881653L, datetime.datetime(2013, 5, 21, 13, 36, 9), 0.0536692838921331, False, 'best']
['shoplocket', 202559944, 'view_full_application', '16', 240881653L, datetime.datetime(2013, 5, 21, 13, 36, 11), 0.0536692838921331, False, 'best']
['shoplocket', 202559944, 'impression', '1', 240856849L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.295313869114307, False, 'best']
['shoplocket', 202559944, 'impression', '2', 240920293L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.183731005272972, False, 'best']
['shoplocket', 202559944, 'impression', '7', 240916205L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.0977446333811894, True, 'best']
['shoplocket', 202559944, 'impression', '19', 240857358L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.0495023542929137, False, 'best']
['shoplocket', 202559944, 'impression', '14', 240888917L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.0583137562500163, False, 'best']
['shoplocket', 202559944, 'impression', '5', 240875488L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.110768872878064, False, 'best']
['shoplocket', 202559944, 'impression', '4', 240920734L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.122866850760265, False, 'best']
['shoplocket', 202559944, 'impression', '17', 240882240L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.0513978584256588, False, 'best']
['shoplocket', 202559944, 'impression', '9', 240870873L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.0809604265871905, False, 'best']
['shoplocket', 202559944, 'impression', '11', 240875228L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.0751253457071637, False, 'best']
['shoplocket', 202559944, 'impression', '13', 240887535L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.0663057388236905, False, 'best']
['shoplocket', 202559944, 'impression', '20', 240859691L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.0484481662841283, False, 'best']
['shoplocket', 202559944, 'impression', '6', 240854689L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.0987305069771398, True, 'best']
['shoplocket', 202559944, 'impression', '18', 240855922L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.0503782312125013, False, 'best']
['shoplocket', 202559944, 'impression', '15', 240858902L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.0557760916820278, False, 'best']
['shoplocket', 202559944, 'impression', '12', 240876608L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.0712870052844645, False, 'best']
['shoplocket', 202559944, 'impression', '10', 240855905L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.0760446971299562, False, 'best']
['shoplocket', 202559944, 'impression', '16', 240881653L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.0536692838921331, False, 'best']
['shoplocket', 202559944, 'impression', '3', 240898713L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.17048804322621, False, 'best']
['shoplocket', 202559944, 'impression', '8', 240899645L, datetime.datetime(2013, 5, 21, 13, 37, 9), 0.083402635795874, False, 'best']
['shoplocket', 202559944, 'impression', '4', 240920734L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.122866850760265, False, 'best']
['shoplocket', 202559944, 'impression', '14', 240888917L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.0583137562500163, False, 'best']
['shoplocket', 202559944, 'impression', '19', 240857358L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.0495023542929137, False, 'best']
['shoplocket', 202559944, 'impression', '5', 240875488L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.110768872878064, False, 'best']
['shoplocket', 202559944, 'impression', '2', 240920293L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.183731005272972, False, 'best']
['shoplocket', 202559944, 'impression', '1', 240856849L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.295313869114307, False, 'best']
['shoplocket', 202559944, 'impression', '7', 240916205L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.0977446333811894, True, 'best']
['shoplocket', 202559944, 'impression', '3', 240898713L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.17048804322621, False, 'best']
['shoplocket', 202559944, 'impression', '8', 240899645L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.083402635795874, False, 'best']
['shoplocket', 202559944, 'impression', '13', 240887535L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.0663057388236905, False, 'best']
['shoplocket', 202559944, 'impression', '20', 240859691L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.0484481662841283, False, 'best']
['shoplocket', 202559944, 'impression', '12', 240876608L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.0712870052844645, False, 'best']
['shoplocket', 202559944, 'impression', '16', 240881653L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.0536692838921331, False, 'best']
['shoplocket', 202559944, 'impression', '10', 240855905L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.0760446971299562, False, 'best']
['shoplocket', 202559944, 'impression', '15', 240858902L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.0557760916820278, False, 'best']
['shoplocket', 202559944, 'impression', '18', 240855922L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.0503782312125013, False, 'best']
['shoplocket', 202559944, 'impression', '6', 240854689L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.0987305069771398, True, 'best']
['shoplocket', 202559944, 'impression', '17', 240882240L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.0513978584256588, False, 'best']
['shoplocket', 202559944, 'impression', '9', 240870873L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.0809604265871905, False, 'best']
['shoplocket', 202559944, 'impression', '11', 240875228L, datetime.datetime(2013, 5, 21, 13, 41, 11), 0.0751253457071637, False, 'best']
['shoplocket', 202559944, 'expand_tile', '7', 240916205L, datetime.datetime(2013, 5, 21, 13, 41, 17), 0.0977446333811894, True, 'best']
['shoplocket', 202559944, 'view_full_application_via_name', '7', 240916205L, datetime.datetime(2013, 5, 21, 13, 41, 37), 0.0977446333811894, True, 'best']

['shoplocket', 202559944, 'impression', '15', 240858902L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.0557760916820278, False, 'best']
['shoplocket', 202559944, 'impression', '6', 240854689L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.0987305069771398, True, 'best']
['shoplocket', 202559944, 'impression', '18', 240855922L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.0503782312125013, False, 'best']
['shoplocket', 202559944, 'impression', '3', 240898713L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.17048804322621, False, 'best']
['shoplocket', 202559944, 'impression', '8', 240899645L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.083402635795874, False, 'best']
['shoplocket', 202559944, 'impression', '20', 240859691L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.0484481662841283, False, 'best']
['shoplocket', 202559944, 'impression', '13', 240887535L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.0663057388236905, False, 'best']
['shoplocket', 202559944, 'impression', '9', 240870873L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.0809604265871905, False, 'best']
['shoplocket', 202559944, 'impression', '11', 240875228L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.0751253457071637, False, 'best']
['shoplocket', 202559944, 'impression', '17', 240882240L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.0513978584256588, False, 'best']
['shoplocket', 202559944, 'impression', '2', 240920293L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.183731005272972, False, 'best']
['shoplocket', 202559944, 'impression', '1', 240856849L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.295313869114307, False, 'best']
['shoplocket', 202559944, 'impression', '7', 240916205L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.0977446333811894, True, 'best']
['shoplocket', 202559944, 'impression', '14', 240888917L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.0583137562500163, False, 'best']
['shoplocket', 202559944, 'impression', '4', 240920734L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.122866850760265, False, 'best']
['shoplocket', 202559944, 'impression', '19', 240857358L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.0495023542929137, False, 'best']
['shoplocket', 202559944, 'impression', '5', 240875488L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.110768872878064, False, 'best']
['shoplocket', 202559944, 'impression', '16', 240881653L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.0536692838921331, False, 'best']
['shoplocket', 202559944, 'impression', '12', 240876608L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.0712870052844645, False, 'best']
['shoplocket', 202559944, 'impression', '10', 240855905L, datetime.datetime(2013, 5, 21, 15, 46, 1), 0.0760446971299562, False, 'best']

['shoplocket', 202559944, 'impression', '11', 240875228L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.0751253457071637, False, 'best']
['shoplocket', 202559944, 'impression', '17', 240882240L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.0513978584256588, False, 'best']
['shoplocket', 202559944, 'impression', '8', 240870873L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.0809604265871905, False, 'best']
['shoplocket', 202559944, 'impression', '6', 240916205L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.0977446333811894, True, 'best']
['shoplocket', 202559944, 'impression', '1', 240920293L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.183731005272972, False, 'best']
['shoplocket', 202559944, 'impression', '5', 240854689L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.0987305069771398, True, 'best']
['shoplocket', 202559944, 'impression', '18', 240855922L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.0503782312125013, False, 'best']
['shoplocket', 202559944, 'impression', '15', 240858902L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.0557760916820278, False, 'best']
['shoplocket', 202559944, 'impression', '9', 240943201L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.0772563150156695, False, 'best']
['shoplocket', 202559944, 'impression', '4', 240875488L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.110768872878064, False, 'best']
['shoplocket', 202559944, 'impression', '14', 240888917L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.0583137562500163, False, 'best']
['shoplocket', 202559944, 'impression', '19', 240857358L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.0495023542929137, False, 'best']
['shoplocket', 202559944, 'impression', '3', 240920734L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.122866850760265, False, 'best']
['shoplocket', 202559944, 'impression', '20', 240859691L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.0484481662841283, False, 'best']
['shoplocket', 202559944, 'impression', '13', 240887535L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.0663057388236905, False, 'best']
['shoplocket', 202559944, 'impression', '2', 240898713L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.17048804322621, False, 'best']
['shoplocket', 202559944, 'impression', '7', 240899645L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.083402635795874, False, 'best']
['shoplocket', 202559944, 'impression', '16', 240881653L, datetime.datetime(2013, 5, 21, 22, 44, 52), 0.0536692838921331, False, 'best']
