['bboym0de', 202580549, 'impression', '1', 241373667L, datetime.datetime(2013, 5, 27, 11, 28, 49), 0.00185365939684196, False, 'time']
['bboym0de', 202580549, 'impression', '4', 241342233L, datetime.datetime(2013, 5, 27, 11, 28, 59), 0.0338653413711468, False, 'time']
['bboym0de', 202580549, 'impression', '5', 241334255L, datetime.datetime(2013, 5, 27, 11, 28, 59), 0.00537399453189881, False, 'time']
['bboym0de', 202580549, 'impression', '7', 241301069L, datetime.datetime(2013, 5, 27, 11, 29, 4), 0.0102296470454164, False, 'time']

['bboym0de', 202580549, 'impression', '10', 241274473L, datetime.datetime(2013, 5, 27, 13, 34, 24), 0.00663074691311267, False, 'time']
['bboym0de', 202580549, 'impression', '5', 241305513L, datetime.datetime(2013, 5, 27, 13, 34, 24), 0.0189743362313296, False, 'time']
['bboym0de', 202580549, 'impression', '1', 241373667L, datetime.datetime(2013, 5, 27, 13, 34, 24), 0.00185365939684196, False, 'time']
['bboym0de', 202580549, 'impression', '14', 241272249L, datetime.datetime(2013, 5, 27, 13, 34, 24), 0.0202889637239671, False, 'time']
['bboym0de', 202580549, 'impression', '11', 241274249L, datetime.datetime(2013, 5, 27, 13, 34, 24), 0.00951383139574307, False, 'time']
['bboym0de', 202580549, 'impression', '12', 241272957L, datetime.datetime(2013, 5, 27, 13, 34, 24), 0.00320545410217484, False, 'time']
['bboym0de', 202580549, 'impression', '13', 241272318L, datetime.datetime(2013, 5, 27, 13, 34, 24), 0.0024639420425719, False, 'time']
['bboym0de', 202580549, 'impression', '7', 241299685L, datetime.datetime(2013, 5, 27, 13, 34, 24), 0.019412609781514, False, 'time']
['bboym0de', 202580549, 'impression', '9', 241283825L, datetime.datetime(2013, 5, 27, 13, 34, 24), 0.0182026925769207, False, 'time']
['bboym0de', 202580549, 'impression', '6', 241301069L, datetime.datetime(2013, 5, 27, 13, 34, 24), 0.0102296470454164, False, 'time']
['bboym0de', 202580549, 'impression', '3', 241350301L, datetime.datetime(2013, 5, 27, 13, 34, 24), 0.017502717808716, False, 'time']
['bboym0de', 202580549, 'impression', '8', 241292512L, datetime.datetime(2013, 5, 27, 13, 34, 24), 0.00543807272099265, False, 'time']
