['amarkismat', 202569518, 'view_full_application_via_name', '9', 241040466L, datetime.datetime(2013, 5, 27, 4, 11, 43), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'impression', '4', 241082153L, datetime.datetime(2013, 5, 27, 4, 12, 22), 0.0905973954470974, False, 'time']
['amarkismat', 202569518, 'impression', '5', 241070126L, datetime.datetime(2013, 5, 27, 4, 12, 22), 0.0878975441520799, False, 'time']
['amarkismat', 202569518, 'impression', '2', 241111593L, datetime.datetime(2013, 5, 27, 4, 12, 22), 0.0414999967049992, False, 'time']
['amarkismat', 202569518, 'impression', '6', 241048444L, datetime.datetime(2013, 5, 27, 4, 12, 22), 0.00492697123048981, False, 'time']
['amarkismat', 202569518, 'impression', '7', 241047209L, datetime.datetime(2013, 5, 27, 4, 12, 22), 0.0152970920356932, False, 'time']
['amarkismat', 202569518, 'impression', '8', 241040784L, datetime.datetime(2013, 5, 27, 4, 12, 22), 0.00483663430156895, False, 'time']
['amarkismat', 202569518, 'impression', '9', 241040466L, datetime.datetime(2013, 5, 27, 4, 12, 22), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'impression', '1', 241301803L, datetime.datetime(2013, 5, 27, 4, 12, 22), 0.0351478702959586, False, 'time']
['amarkismat', 202569518, 'impression', '3', 241089057L, datetime.datetime(2013, 5, 27, 4, 12, 22), 0.022673408709962, False, 'time']
['amarkismat', 202569518, 'impression', '5', 241070126L, datetime.datetime(2013, 5, 27, 4, 13, 58), 0.0878975441520799, False, 'time']
['amarkismat', 202569518, 'impression', '2', 241111593L, datetime.datetime(2013, 5, 27, 4, 13, 58), 0.0414999967049992, False, 'time']
['amarkismat', 202569518, 'impression', '9', 241040466L, datetime.datetime(2013, 5, 27, 4, 13, 58), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'impression', '7', 241047209L, datetime.datetime(2013, 5, 27, 4, 13, 58), 0.0152970920356932, False, 'time']
['amarkismat', 202569518, 'impression', '8', 241040784L, datetime.datetime(2013, 5, 27, 4, 13, 58), 0.00483663430156895, False, 'time']
['amarkismat', 202569518, 'impression', '6', 241048444L, datetime.datetime(2013, 5, 27, 4, 13, 58), 0.00492697123048981, False, 'time']
['amarkismat', 202569518, 'impression', '3', 241089057L, datetime.datetime(2013, 5, 27, 4, 13, 58), 0.022673408709962, False, 'time']
['amarkismat', 202569518, 'impression', '1', 241301803L, datetime.datetime(2013, 5, 27, 4, 13, 58), 0.0351478702959586, False, 'time']
['amarkismat', 202569518, 'impression', '4', 241082153L, datetime.datetime(2013, 5, 27, 4, 13, 58), 0.0905973954470974, False, 'time']
['amarkismat', 202569518, 'view_full_application_via_name', '9', 241040466L, datetime.datetime(2013, 5, 27, 4, 14, 1), 0.178601623543824, False, 'time']

['amarkismat', 202569518, 'impression', '2', 241111593L, datetime.datetime(2013, 5, 27, 20, 8, 53), 0.0414999967049992, False, 'time']
['amarkismat', 202569518, 'impression', '5', 241070126L, datetime.datetime(2013, 5, 27, 20, 8, 53), 0.0878975441520799, False, 'time']
['amarkismat', 202569518, 'impression', '6', 241048444L, datetime.datetime(2013, 5, 27, 20, 8, 53), 0.00492697123048981, False, 'time']
['amarkismat', 202569518, 'impression', '3', 241089057L, datetime.datetime(2013, 5, 27, 20, 8, 53), 0.022673408709962, False, 'time']
['amarkismat', 202569518, 'impression', '1', 241301803L, datetime.datetime(2013, 5, 27, 20, 8, 53), 0.0351478702959586, False, 'time']
['amarkismat', 202569518, 'impression', '7', 241047209L, datetime.datetime(2013, 5, 27, 20, 8, 53), 0.0152970920356932, False, 'time']
['amarkismat', 202569518, 'impression', '4', 241082153L, datetime.datetime(2013, 5, 27, 20, 8, 53), 0.0905973954470974, False, 'time']
['amarkismat', 202569518, 'impression', '8', 241040784L, datetime.datetime(2013, 5, 27, 20, 8, 53), 0.00483663430156895, False, 'time']
['amarkismat', 202569518, 'impression', '9', 241040466L, datetime.datetime(2013, 5, 27, 20, 8, 53), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'view_full_application_via_name', '9', 241040466L, datetime.datetime(2013, 5, 27, 20, 8, 57), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'impression', '9', 241040466L, datetime.datetime(2013, 5, 27, 20, 13, 41), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'impression', '1', 241301803L, datetime.datetime(2013, 5, 27, 20, 13, 41), 0.0351478702959586, False, 'time']
['amarkismat', 202569518, 'impression', '3', 241089057L, datetime.datetime(2013, 5, 27, 20, 13, 41), 0.022673408709962, False, 'time']
['amarkismat', 202569518, 'impression', '2', 241111593L, datetime.datetime(2013, 5, 27, 20, 13, 41), 0.0414999967049992, False, 'time']
['amarkismat', 202569518, 'impression', '5', 241070126L, datetime.datetime(2013, 5, 27, 20, 13, 41), 0.0878975441520799, False, 'time']
['amarkismat', 202569518, 'impression', '8', 241040784L, datetime.datetime(2013, 5, 27, 20, 13, 41), 0.00483663430156895, False, 'time']
['amarkismat', 202569518, 'impression', '4', 241082153L, datetime.datetime(2013, 5, 27, 20, 13, 41), 0.0905973954470974, False, 'time']
['amarkismat', 202569518, 'impression', '7', 241047209L, datetime.datetime(2013, 5, 27, 20, 13, 41), 0.0152970920356932, False, 'time']
['amarkismat', 202569518, 'impression', '6', 241048444L, datetime.datetime(2013, 5, 27, 20, 13, 41), 0.00492697123048981, False, 'time']
['amarkismat', 202569518, 'shortlist', '9', 241040466L, datetime.datetime(2013, 5, 27, 20, 13, 52), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'shortlist', '5', 241070126L, datetime.datetime(2013, 5, 27, 20, 13, 59), 0.0878975441520799, False, 'time']
['amarkismat', 202569518, 'impression', '9', 241040466L, datetime.datetime(2013, 5, 27, 20, 14, 32), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'impression', '6', 241048444L, datetime.datetime(2013, 5, 27, 20, 14, 32), 0.00492697123048981, False, 'time']
['amarkismat', 202569518, 'impression', '7', 241047209L, datetime.datetime(2013, 5, 27, 20, 14, 32), 0.0152970920356932, False, 'time']
['amarkismat', 202569518, 'impression', '3', 241089057L, datetime.datetime(2013, 5, 27, 20, 14, 32), 0.022673408709962, False, 'time']
['amarkismat', 202569518, 'impression', '1', 241301803L, datetime.datetime(2013, 5, 27, 20, 14, 32), 0.0351478702959586, False, 'time']
['amarkismat', 202569518, 'impression', '2', 241111593L, datetime.datetime(2013, 5, 27, 20, 14, 32), 0.0414999967049992, False, 'time']
['amarkismat', 202569518, 'impression', '5', 241070126L, datetime.datetime(2013, 5, 27, 20, 14, 32), 0.0878975441520799, False, 'time']
['amarkismat', 202569518, 'impression', '4', 241082153L, datetime.datetime(2013, 5, 27, 20, 14, 32), 0.0905973954470974, False, 'time']
['amarkismat', 202569518, 'impression', '8', 241040784L, datetime.datetime(2013, 5, 27, 20, 14, 32), 0.00483663430156895, False, 'time']
['amarkismat', 202569518, 'view_full_application_via_name', '9', 241040466L, datetime.datetime(2013, 5, 27, 20, 17, 6), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'view_full_application_via_name', '9', 241040466L, datetime.datetime(2013, 5, 27, 20, 17, 7), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'view_full_application_via_name', '9', 241040466L, datetime.datetime(2013, 5, 27, 20, 17, 8), 0.178601623543824, False, 'time']

