['alemao85', 202563492, 'impression', '8', 240928217L, datetime.datetime(2013, 5, 21, 14, 40, 57), 0.0733318877371395, False, 'time']
['alemao85', 202563492, 'impression', '7', 240928580L, datetime.datetime(2013, 5, 21, 14, 40, 57), 0.0445760730231626, False, 'time']
['alemao85', 202563492, 'impression', '9', 240927921L, datetime.datetime(2013, 5, 21, 14, 40, 57), 0.0421741645695, False, 'time']
['alemao85', 202563492, 'impression', '4', 240929527L, datetime.datetime(2013, 5, 21, 14, 40, 57), 0.0868035274814894, False, 'time']
['alemao85', 202563492, 'impression', '5', 240929399L, datetime.datetime(2013, 5, 21, 14, 40, 57), 0.123930781979709, False, 'time']
['alemao85', 202563492, 'impression', '1', 240930999L, datetime.datetime(2013, 5, 21, 14, 40, 57), 0.0835077257306028, False, 'time']
['alemao85', 202563492, 'impression', '3', 240930742L, datetime.datetime(2013, 5, 21, 14, 40, 57), 0.156981153914783, False, 'time']
['alemao85', 202563492, 'impression', '2', 240930971L, datetime.datetime(2013, 5, 21, 14, 40, 57), 0.0739084253027428, True, 'time']
['alemao85', 202563492, 'impression', '6', 240928710L, datetime.datetime(2013, 5, 21, 14, 40, 57), 0.0227886573355359, False, 'time']
['alemao85', 202563492, 'view_full_application_via_name', '3', 240930742L, datetime.datetime(2013, 5, 21, 14, 41, 14), 0.156981153914783, False, 'time']
['alemao85', 202563492, 'impression', '8', 240928217L, datetime.datetime(2013, 5, 21, 15, 8, 35), 0.0733318877371395, False, 'time']
['alemao85', 202563492, 'impression', '3', 240930742L, datetime.datetime(2013, 5, 21, 15, 8, 35), 0.156981153914783, False, 'time']
['alemao85', 202563492, 'impression', '6', 240928710L, datetime.datetime(2013, 5, 21, 15, 8, 35), 0.0227886573355359, False, 'time']
['alemao85', 202563492, 'impression', '2', 240930971L, datetime.datetime(2013, 5, 21, 15, 8, 35), 0.0739084253027428, True, 'time']
['alemao85', 202563492, 'impression', '5', 240929399L, datetime.datetime(2013, 5, 21, 15, 8, 35), 0.123930781979709, False, 'time']
['alemao85', 202563492, 'impression', '4', 240929527L, datetime.datetime(2013, 5, 21, 15, 8, 35), 0.0868035274814894, False, 'time']
['alemao85', 202563492, 'impression', '1', 240930999L, datetime.datetime(2013, 5, 21, 15, 8, 35), 0.0835077257306028, False, 'time']
['alemao85', 202563492, 'impression', '9', 240927921L, datetime.datetime(2013, 5, 21, 15, 8, 35), 0.0421741645695, False, 'time']
['alemao85', 202563492, 'impression', '7', 240928580L, datetime.datetime(2013, 5, 21, 15, 8, 35), 0.0445760730231626, False, 'time']
['alemao85', 202563492, 'view_full_application_via_name', '2', 240930971L, datetime.datetime(2013, 5, 21, 15, 9, 34), 0.0739084253027428, True, 'time']
['alemao85', 202563492, 'impression', '1', 240930999L, datetime.datetime(2013, 5, 21, 15, 11, 8), 0.0835077257306028, False, 'time']
['alemao85', 202563492, 'impression', '9', 240927921L, datetime.datetime(2013, 5, 21, 15, 11, 8), 0.0421741645695, False, 'time']
['alemao85', 202563492, 'impression', '7', 240928580L, datetime.datetime(2013, 5, 21, 15, 11, 8), 0.0445760730231626, False, 'time']
['alemao85', 202563492, 'impression', '4', 240929527L, datetime.datetime(2013, 5, 21, 15, 11, 8), 0.0868035274814894, False, 'time']
['alemao85', 202563492, 'impression', '5', 240929399L, datetime.datetime(2013, 5, 21, 15, 11, 8), 0.123930781979709, False, 'time']
['alemao85', 202563492, 'impression', '8', 240928217L, datetime.datetime(2013, 5, 21, 15, 11, 8), 0.0733318877371395, False, 'time']
['alemao85', 202563492, 'impression', '3', 240930742L, datetime.datetime(2013, 5, 21, 15, 11, 8), 0.156981153914783, False, 'time']
['alemao85', 202563492, 'impression', '6', 240928710L, datetime.datetime(2013, 5, 21, 15, 11, 8), 0.0227886573355359, False, 'time']
['alemao85', 202563492, 'impression', '2', 240930971L, datetime.datetime(2013, 5, 21, 15, 11, 8), 0.0739084253027428, True, 'time']
['alemao85', 202563492, 'view_full_application_via_name', '1', 240930999L, datetime.datetime(2013, 5, 21, 15, 11, 18), 0.0835077257306028, False, 'time']
['alemao85', 202563492, 'impression', '5', 240929399L, datetime.datetime(2013, 5, 21, 15, 14, 39), 0.123930781979709, False, 'time']
['alemao85', 202563492, 'impression', '4', 240929527L, datetime.datetime(2013, 5, 21, 15, 14, 39), 0.0868035274814894, False, 'time']
['alemao85', 202563492, 'impression', '8', 240928217L, datetime.datetime(2013, 5, 21, 15, 14, 39), 0.0733318877371395, False, 'time']
['alemao85', 202563492, 'impression', '2', 240930971L, datetime.datetime(2013, 5, 21, 15, 14, 39), 0.0739084253027428, True, 'time']
