['brandon-glasgow', 202554898, 'impression', '9', 240743367L, datetime.datetime(2013, 5, 19, 8, 54, 50), 0.062696947871405, False, 'best']
['brandon-glasgow', 202554898, 'impression', '6', 240746821L, datetime.datetime(2013, 5, 19, 8, 54, 50), 0.0350971383514734, False, 'best']
['brandon-glasgow', 202554898, 'impression', '4', 240744255L, datetime.datetime(2013, 5, 19, 8, 54, 50), 0.0488690323894275, False, 'best']
['brandon-glasgow', 202554898, 'impression', '1', 240743280L, datetime.datetime(2013, 5, 19, 8, 54, 50), 0.0629895538494092, False, 'best']
['brandon-glasgow', 202554898, 'impression', '2', 240743202L, datetime.datetime(2013, 5, 19, 8, 54, 50), 0.0553453356053821, False, 'best']
['brandon-glasgow', 202554898, 'impression', '3', 240743619L, datetime.datetime(2013, 5, 19, 8, 54, 50), 0.0521701955467435, False, 'best']
['brandon-glasgow', 202554898, 'impression', '10', 240743547L, datetime.datetime(2013, 5, 19, 8, 54, 50), 0.0323996010323213, False, 'best']
['brandon-glasgow', 202554898, 'impression', '7', 240743611L, datetime.datetime(2013, 5, 19, 8, 54, 50), 0.0320312813523855, False, 'best']
['brandon-glasgow', 202554898, 'view_full_application_via_name', '8', 240743245L, datetime.datetime(2013, 5, 19, 8, 55, 13), 0.0226939680700121, False, 'best']
['brandon-glasgow', 202554898, 'impression', '7', 240743611L, datetime.datetime(2013, 5, 19, 8, 58, 42), 0.0320312813523855, False, 'best']
['brandon-glasgow', 202554898, 'impression', '10', 240743547L, datetime.datetime(2013, 5, 19, 8, 58, 42), 0.0323996010323213, False, 'best']
['brandon-glasgow', 202554898, 'impression', '3', 240743619L, datetime.datetime(2013, 5, 19, 8, 58, 42), 0.0521701955467435, False, 'best']
['brandon-glasgow', 202554898, 'impression', '9', 240743367L, datetime.datetime(2013, 5, 19, 8, 58, 42), 0.062696947871405, False, 'best']
['brandon-glasgow', 202554898, 'impression', '6', 240746821L, datetime.datetime(2013, 5, 19, 8, 58, 42), 0.0350971383514734, False, 'best']
['brandon-glasgow', 202554898, 'impression', '4', 240744255L, datetime.datetime(2013, 5, 19, 8, 58, 42), 0.0488690323894275, False, 'best']
['brandon-glasgow', 202554898, 'impression', '2', 240743202L, datetime.datetime(2013, 5, 19, 8, 58, 42), 0.0553453356053821, False, 'best']
['brandon-glasgow', 202554898, 'impression', '1', 240743280L, datetime.datetime(2013, 5, 19, 8, 58, 42), 0.0629895538494092, False, 'best']
['brandon-glasgow', 202554898, 'impression', '5', 240746038L, datetime.datetime(2013, 5, 19, 8, 58, 42), 0.0384593316147538, True, 'best']
['brandon-glasgow', 202554898, 'impression', '8', 240743245L, datetime.datetime(2013, 5, 19, 8, 58, 42), 0.0226939680700121, False, 'best']
['brandon-glasgow', 202554898, 'impression', '1', 240743280L, datetime.datetime(2013, 5, 19, 9, 2, 42), 0.0629895538494092, False, 'best']
['brandon-glasgow', 202554898, 'impression', '10', 240743547L, datetime.datetime(2013, 5, 19, 9, 2, 42), 0.0323996010323213, False, 'best']
['brandon-glasgow', 202554898, 'impression', '3', 240743619L, datetime.datetime(2013, 5, 19, 9, 2, 42), 0.0521701955467435, False, 'best']
['brandon-glasgow', 202554898, 'impression', '7', 240743611L, datetime.datetime(2013, 5, 19, 9, 2, 42), 0.0320312813523855, False, 'best']
['brandon-glasgow', 202554898, 'impression', '9', 240743367L, datetime.datetime(2013, 5, 19, 9, 2, 42), 0.062696947871405, False, 'best']
['brandon-glasgow', 202554898, 'impression', '2', 240743202L, datetime.datetime(2013, 5, 19, 9, 2, 42), 0.0553453356053821, False, 'best']
['brandon-glasgow', 202554898, 'impression', '6', 240746821L, datetime.datetime(2013, 5, 19, 9, 2, 42), 0.0350971383514734, False, 'best']
['brandon-glasgow', 202554898, 'impression', '4', 240744255L, datetime.datetime(2013, 5, 19, 9, 2, 42), 0.0488690323894275, False, 'best']
['brandon-glasgow', 202554898, 'impression', '8', 240743245L, datetime.datetime(2013, 5, 19, 9, 2, 42), 0.0226939680700121, False, 'best']
['brandon-glasgow', 202554898, 'impression', '5', 240746038L, datetime.datetime(2013, 5, 19, 9, 2, 42), 0.0384593316147538, True, 'best']
['brandon-glasgow', 202554898, 'expand_tile', '1', 240743280L, datetime.datetime(2013, 5, 19, 9, 2, 59), 0.0629895538494092, False, 'best']
['brandon-glasgow', 202554898, 'impression', '1', 240743280L, datetime.datetime(2013, 5, 19, 9, 3, 28), 0.0629895538494092, False, 'best']
['brandon-glasgow', 202554898, 'impression', '3', 240743619L, datetime.datetime(2013, 5, 19, 9, 3, 28), 0.0521701955467435, False, 'best']
['brandon-glasgow', 202554898, 'impression', '7', 240743611L, datetime.datetime(2013, 5, 19, 9, 3, 28), 0.0320312813523855, False, 'best']
['brandon-glasgow', 202554898, 'impression', '10', 240743547L, datetime.datetime(2013, 5, 19, 9, 3, 28), 0.0323996010323213, False, 'best']
['brandon-glasgow', 202554898, 'impression', '9', 240743367L, datetime.datetime(2013, 5, 19, 9, 3, 28), 0.062696947871405, False, 'best']
['brandon-glasgow', 202554898, 'impression', '4', 240744255L, datetime.datetime(2013, 5, 19, 9, 3, 28), 0.0488690323894275, False, 'best']
['brandon-glasgow', 202554898, 'impression', '6', 240746821L, datetime.datetime(2013, 5, 19, 9, 3, 28), 0.0350971383514734, False, 'best']
['brandon-glasgow', 202554898, 'impression', '8', 240743245L, datetime.datetime(2013, 5, 19, 9, 3, 28), 0.0226939680700121, False, 'best']
['brandon-glasgow', 202554898, 'impression', '5', 240746038L, datetime.datetime(2013, 5, 19, 9, 3, 28), 0.0384593316147538, True, 'best']
['brandon-glasgow', 202554898, 'impression', '2', 240743202L, datetime.datetime(2013, 5, 19, 9, 3, 28), 0.0553453356053821, False, 'best']
['brandon-glasgow', 202554898, 'view_full_application_via_name', '9', 240743367L, datetime.datetime(2013, 5, 19, 9, 3, 43), 0.062696947871405, False, 'best']
['brandon-glasgow', 202554898, 'impression', '1', 240743280L, datetime.datetime(2013, 5, 19, 9, 4, 32), 0.0629895538494092, False, 'best']
['brandon-glasgow', 202554898, 'impression', '6', 240746821L, datetime.datetime(2013, 5, 19, 9, 4, 32), 0.0350971383514734, False, 'best']
['brandon-glasgow', 202554898, 'impression', '4', 240744255L, datetime.datetime(2013, 5, 19, 9, 4, 32), 0.0488690323894275, False, 'best']
