['gladfield', 202583235, 'impression', '18', 241342716L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.0557265779845962, False, 'best']
['gladfield', 202583235, 'impression', '6', 241336136L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.0967163478067244, False, 'best']
['gladfield', 202583235, 'impression', '1', 241335672L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.134483158057348, False, 'best']
['gladfield', 202583235, 'impression', '17', 241335246L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.0566889356111646, False, 'best']
['gladfield', 202583235, 'impression', '4', 241340756L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.104685610194463, False, 'best']
['gladfield', 202583235, 'impression', '8', 241335162L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.0910741897026418, False, 'best']
['gladfield', 202583235, 'impression', '19', 241336355L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.0553906646227118, False, 'best']
['gladfield', 202583235, 'impression', '16', 241335692L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.0578970036077586, False, 'best']
['gladfield', 202583235, 'impression', '14', 241342834L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.0642308498797203, False, 'best']
['gladfield', 202583235, 'view_full_application_via_name', '1', 241335672L, datetime.datetime(2013, 5, 26, 20, 3, 40), 0.134483158057348, False, 'best']
['gladfield', 202583235, 'impression', '2', 241336988L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.128630260824933, False, 'best']
['gladfield', 202583235, 'impression', '6', 241336136L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.0967163478067244, False, 'best']
['gladfield', 202583235, 'impression', '3', 241344182L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.125561571650454, False, 'best']
['gladfield', 202583235, 'impression', '10', 241335950L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.086843780364025, False, 'best']
['gladfield', 202583235, 'impression', '7', 241335468L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.0956365250137875, False, 'best']
['gladfield', 202583235, 'impression', '5', 241335269L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.0968595464223935, False, 'best']
['gladfield', 202583235, 'impression', '15', 241337942L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.0609017720656773, False, 'best']
['gladfield', 202583235, 'impression', '13', 241337309L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.0666763340467887, False, 'best']
['gladfield', 202583235, 'impression', '20', 241348784L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.0546414228578011, False, 'best']
['gladfield', 202583235, 'impression', '9', 241336922L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.0901290629307515, False, 'best']
['gladfield', 202583235, 'impression', '11', 241334551L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.0741833219330589, False, 'best']
['gladfield', 202583235, 'impression', '12', 241335563L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.0680723099138791, False, 'best']
['gladfield', 202583235, 'impression', '18', 241342716L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.0557265779845962, False, 'best']
['gladfield', 202583235, 'impression', '8', 241335162L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.0910741897026418, False, 'best']
['gladfield', 202583235, 'impression', '19', 241336355L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.0553906646227118, False, 'best']
['gladfield', 202583235, 'impression', '16', 241335692L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.0578970036077586, False, 'best']
['gladfield', 202583235, 'impression', '14', 241342834L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.0642308498797203, False, 'best']
['gladfield', 202583235, 'impression', '1', 241335672L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.134483158057348, False, 'best']
['gladfield', 202583235, 'impression', '17', 241335246L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.0566889356111646, False, 'best']
['gladfield', 202583235, 'impression', '4', 241340756L, datetime.datetime(2013, 5, 26, 20, 6, 30), 0.104685610194463, False, 'best']
['gladfield', 202583235, 'shortlist', '1', 241335672L, datetime.datetime(2013, 5, 26, 20, 6, 33), 0.134483158057348, False, 'best']
['gladfield', 202583235, 'impression', '2', 241336988L, datetime.datetime(2013, 5, 26, 20, 6, 35), 0.128630260824933, False, 'best']
['gladfield', 202583235, 'impression', '2', 241336988L, datetime.datetime(2013, 5, 26, 20, 6, 36), 0.128630260824933, False, 'best']
['gladfield', 202583235, 'impression', '2', 241336988L, datetime.datetime(2013, 5, 26, 20, 6, 38), 0.128630260824933, False, 'best']
['gladfield', 202583235, 'impression', '3', 241344182L, datetime.datetime(2013, 5, 26, 20, 6, 41), 0.125561571650454, False, 'best']
['gladfield', 202583235, 'view_full_application_via_name', '3', 241344182L, datetime.datetime(2013, 5, 26, 20, 6, 43), 0.125561571650454, False, 'best']
['gladfield', 202583235, 'impression', '4', 241335269L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.0968595464223935, False, 'best']
['gladfield', 202583235, 'impression', '6', 241335468L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.0956365250137875, False, 'best']
['gladfield', 202583235, 'impression', '9', 241335950L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.086843780364025, False, 'best']
['gladfield', 202583235, 'impression', '8', 241336922L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.0901290629307515, False, 'best']
['gladfield', 202583235, 'impression', '2', 241344182L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.125561571650454, False, 'best']
['gladfield', 202583235, 'impression', '14', 241337942L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.0609017720656773, False, 'best']
['gladfield', 202583235, 'impression', '19', 241348784L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.0546414228578011, False, 'best']
['gladfield', 202583235, 'impression', '20', 241336225L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.0491171665282897, False, 'best']
['gladfield', 202583235, 'impression', '12', 241337309L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.0666763340467887, False, 'best']
['gladfield', 202583235, 'impression', '18', 241336355L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.0553906646227118, False, 'best']
['gladfield', 202583235, 'impression', '15', 241335692L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.0578970036077586, False, 'best']
['gladfield', 202583235, 'impression', '7', 241335162L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.0910741897026418, False, 'best']
['gladfield', 202583235, 'impression', '16', 241335246L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.0566889356111646, False, 'best']
['gladfield', 202583235, 'impression', '3', 241340756L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.104685610194463, False, 'best']
['gladfield', 202583235, 'impression', '1', 241335672L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.134483158057348, False, 'best']
['gladfield', 202583235, 'impression', '17', 241342716L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.0557265779845962, False, 'best']
['gladfield', 202583235, 'impression', '11', 241335563L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.0680723099138791, False, 'best']
['gladfield', 202583235, 'impression', '10', 241334551L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.0741833219330589, False, 'best']
['gladfield', 202583235, 'impression', '13', 241342834L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.0642308498797203, False, 'best']
['gladfield', 202583235, 'impression', '5', 241336136L, datetime.datetime(2013, 5, 26, 20, 7, 6), 0.0967163478067244, False, 'best']
['gladfield', 202583235, 'impression', '2', 241344182L, datetime.datetime(2013, 5, 26, 20, 7, 7), 0.125561571650454, False, 'best']
['gladfield', 202583235, 'shortlist', '2', 241344182L, datetime.datetime(2013, 5, 26, 20, 7, 8), 0.125561571650454, False, 'best']
['gladfield', 202583235, 'view_full_application_via_name', '3', 241340756L, datetime.datetime(2013, 5, 26, 20, 7, 12), 0.104685610194463, False, 'best']
['gladfield', 202583235, 'impression', '1', 241335672L, datetime.datetime(2013, 5, 26, 20, 7, 57), 0.134483158057348, False, 'best']
['gladfield', 202583235, 'impression', '3', 241340756L, datetime.datetime(2013, 5, 26, 20, 7, 57), 0.104685610194463, False, 'best']
['gladfield', 202583235, 'impression', '16', 241335246L, datetime.datetime(2013, 5, 26, 20, 7, 57), 0.0566889356111646, False, 'best']
['gladfield', 202583235, 'impression', '4', 241335269L, datetime.datetime(2013, 5, 26, 20, 7, 57), 0.0968595464223935, False, 'best']
['gladfield', 202583235, 'impression', '6', 241335468L, datetime.datetime(2013, 5, 26, 20, 7, 57), 0.0956365250137875, False, 'best']
['gladfield', 202583235, 'impression', '9', 241335950L, datetime.datetime(2013, 5, 26, 20, 7, 57), 0.086843780364025, False, 'best']
