['aritzbm', 202548075, 'impression', '5', 240588283L, datetime.datetime(2013, 5, 20, 20, 12, 33), 0.480541945072885, False, 'time']
['aritzbm', 202548075, 'impression', '6', 240587422L, datetime.datetime(2013, 5, 20, 20, 12, 33), 0.371711626539563, False, 'time']
['aritzbm', 202548075, 'impression', '2', 240615265L, datetime.datetime(2013, 5, 20, 20, 12, 33), 0.351609361022614, False, 'time']
['aritzbm', 202548075, 'impression', '3', 240594753L, datetime.datetime(2013, 5, 20, 20, 12, 33), 0.305852217414511, True, 'time']
['aritzbm', 202548075, 'impression', '1', 240702363L, datetime.datetime(2013, 5, 20, 20, 12, 33), 0.209378274008091, False, 'time']
['aritzbm', 202548075, 'view_full_application_via_message', '6', 240587422L, datetime.datetime(2013, 5, 20, 20, 12, 35), 0.371711626539563, False, 'time']
['aritzbm', 202548075, 'impression', '3', 240594753L, datetime.datetime(2013, 5, 20, 20, 12, 59), 0.305852217414511, True, 'time']
['aritzbm', 202548075, 'impression', '2', 240615265L, datetime.datetime(2013, 5, 20, 20, 12, 59), 0.351609361022614, False, 'time']
['aritzbm', 202548075, 'impression', '4', 240589673L, datetime.datetime(2013, 5, 20, 20, 12, 59), 0.540905236290327, False, 'time']
['aritzbm', 202548075, 'impression', '5', 240588283L, datetime.datetime(2013, 5, 20, 20, 12, 59), 0.480541945072885, False, 'time']
['aritzbm', 202548075, 'impression', '6', 240587422L, datetime.datetime(2013, 5, 20, 20, 12, 59), 0.371711626539563, False, 'time']
['aritzbm', 202548075, 'impression', '7', 240587344L, datetime.datetime(2013, 5, 20, 20, 12, 59), 0.31270878937809, False, 'time']
['aritzbm', 202548075, 'impression', '1', 240702363L, datetime.datetime(2013, 5, 20, 20, 12, 59), 0.209378274008091, False, 'time']
['aritzbm', 202548075, 'expand_tile', '5', 240588283L, datetime.datetime(2013, 5, 20, 20, 13), 0.480541945072885, False, 'time']
['aritzbm', 202548075, 'view_full_application', '5', 240588283L, datetime.datetime(2013, 5, 20, 20, 13, 2), 0.480541945072885, False, 'time']
['aritzbm', 202548075, 'impression', '7', 240587344L, datetime.datetime(2013, 5, 20, 20, 13, 15), 0.31270878937809, False, 'time']
['aritzbm', 202548075, 'impression', '5', 240588283L, datetime.datetime(2013, 5, 20, 20, 13, 15), 0.480541945072885, False, 'time']
['aritzbm', 202548075, 'impression', '4', 240589673L, datetime.datetime(2013, 5, 20, 20, 13, 15), 0.540905236290327, False, 'time']
['aritzbm', 202548075, 'impression', '6', 240587422L, datetime.datetime(2013, 5, 20, 20, 13, 15), 0.371711626539563, False, 'time']
['aritzbm', 202548075, 'impression', '1', 240702363L, datetime.datetime(2013, 5, 20, 20, 13, 15), 0.209378274008091, False, 'time']
['aritzbm', 202548075, 'impression', '2', 240615265L, datetime.datetime(2013, 5, 20, 20, 13, 15), 0.351609361022614, False, 'time']
