['communiiity', 202581671, 'impression', '19', 241298237L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.0484512384669892, True, 'time']
['communiiity', 202581671, 'impression', '8', 241299029L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.061045285502435, False, 'time']
['communiiity', 202581671, 'impression', '16', 241298310L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.0140967779066862, False, 'time']
['communiiity', 202581671, 'impression', '13', 241298406L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.0459739884127411, False, 'time']
['communiiity', 202581671, 'impression', '12', 241298414L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.0453455025120175, False, 'time']
['communiiity', 202581671, 'impression', '6', 241305154L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.0576716087619296, False, 'time']
['communiiity', 202581671, 'impression', '1', 241328688L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.0341785118776856, False, 'time']
['communiiity', 202581671, 'impression', '18', 241298267L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.0211479372606961, False, 'time']
['communiiity', 202581671, 'impression', '14', 241298371L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.0267174022944619, False, 'time']
['communiiity', 202581671, 'impression', '5', 241305401L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.0604042833426763, False, 'time']
['communiiity', 202581671, 'impression', '4', 241305923L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.058142529884638, False, 'time']
['communiiity', 202581671, 'impression', '9', 241298577L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.0609076991602999, False, 'time']
['communiiity', 202581671, 'impression', '15', 241298352L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.0287662071055295, False, 'time']
['communiiity', 202581671, 'impression', '11', 241298506L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.170830508014248, False, 'time']
['communiiity', 202581671, 'impression', '7', 241304131L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.0783698006775966, False, 'time']
['communiiity', 202581671, 'impression', '10', 241298514L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.14910054497962, False, 'time']
['communiiity', 202581671, 'impression', '2', 241309407L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.0645721199879657, False, 'time']
['communiiity', 202581671, 'impression', '3', 241306592L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.156850683951598, False, 'time']
['communiiity', 202581671, 'impression', '17', 241298279L, datetime.datetime(2013, 5, 26, 15, 41, 19), 0.041468077904296, False, 'time']

['communiiity', 202581671, 'impression', '16', 241298352L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.0287662071055295, False, 'time']
['communiiity', 202581671, 'impression', '10', 241298577L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.0609076991602999, False, 'time']
['communiiity', 202581671, 'impression', '12', 241298506L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.170830508014248, False, 'time']
['communiiity', 202581671, 'impression', '4', 241306592L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.156850683951598, False, 'time']
['communiiity', 202581671, 'impression', '11', 241298514L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.14910054497962, False, 'time']
['communiiity', 202581671, 'impression', '8', 241304131L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.0783698006775966, False, 'time']
['communiiity', 202581671, 'impression', '3', 241309407L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.0645721199879657, False, 'time']
['communiiity', 202581671, 'impression', '18', 241298279L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.041468077904296, False, 'time']
['communiiity', 202581671, 'impression', '2', 241328688L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.0341785118776856, False, 'time']
['communiiity', 202581671, 'impression', '15', 241298371L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.0267174022944619, False, 'time']
['communiiity', 202581671, 'impression', '1', 241335039L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.0523960297910698, False, 'time']
['communiiity', 202581671, 'impression', '19', 241298267L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.0211479372606961, False, 'time']
['communiiity', 202581671, 'impression', '20', 241298225L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.0218542605044667, False, 'time']
['communiiity', 202581671, 'impression', '5', 241305923L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.058142529884638, False, 'time']
['communiiity', 202581671, 'impression', '6', 241305401L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.0604042833426763, False, 'time']
['communiiity', 202581671, 'impression', '9', 241299029L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.061045285502435, False, 'time']
['communiiity', 202581671, 'impression', '14', 241298406L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.0459739884127411, False, 'time']
['communiiity', 202581671, 'impression', '7', 241305154L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.0576716087619296, False, 'time']
['communiiity', 202581671, 'impression', '13', 241298414L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.0453455025120175, False, 'time']
['communiiity', 202581671, 'impression', '17', 241298310L, datetime.datetime(2013, 5, 26, 16, 31, 20), 0.0140967779066862, False, 'time']

